/home/service/the-one-normal/reports/freiburg1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:2_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'EpidemicRouter', 'Group.bufferSize': '1000G', 'Group.msgTtl': '400', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '39600', 'Events1.interval': '1', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.9', 'ProphetV2Router.gamma': '0.999885791', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '2'}
['./one.sh', '-b', '1', 'freiburg1True_settings.txt']
Percent: 1/144
Run 1/1
23 in line defined by file data/freiburg1True/1_schedule.csv
24 in line defined by file data/freiburg1True/2_schedule.csv
44 in line defined by file data/freiburg1True/3_schedule.csv
15 in line defined by file data/freiburg1True/4_schedule.csv
11 in line defined by file data/freiburg1True/5_schedule.csv
Running simulation 'freiburg1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:2'
9066.2 25637: 0.47 1/s
9126.2 25686: 0.80 1/s
9186.4 25743: 0.96 1/s
9246.4 25787: 0.72 1/s
9306.5 25825: 0.63 1/s
9366.5 25883: 0.96 1/s
9426.5 25916: 0.55 1/s
9486.6 25962: 0.77 1/s
9546.6 26020: 0.96 1/s
9606.8 26065: 0.75 1/s
9666.9 26114: 0.81 1/s
9727.0 26168: 0.90 1/s
9787.1 26219: 0.85 1/s
9847.1 26261: 0.70 1/s
9907.1 26327: 1.10 1/s
9967.3 26368: 0.67 1/s
10027.4 26418: 0.84 1/s
10087.4 26447: 0.48 1/s
10147.7 26480: 0.55 1/s
10207.9 26535: 0.91 1/s
10268.0 26570: 0.58 1/s
10328.1 26600: 0.51 1/s
10388.1 26651: 0.85 1/s
10448.2 26709: 0.96 1/s
10508.2 26754: 0.75 1/s
10568.3 26788: 0.56 1/s
10628.4 26826: 0.64 1/s
10688.4 26863: 0.61 1/s
10748.5 26906: 0.72 1/s
10808.6 26941: 0.57 1/s
10868.8 26970: 0.48 1/s
10928.9 27009: 0.66 1/s
10989.0 27045: 0.60 1/s
11049.1 27086: 0.67 1/s
11109.1 27124: 0.64 1/s
11169.3 27165: 0.68 1/s
11229.4 27194: 0.48 1/s
11289.4 27235: 0.68 1/s
11349.4 27278: 0.72 1/s
11409.5 27327: 0.82 1/s
11469.5 27373: 0.76 1/s
11529.6 27406: 0.56 1/s
11589.7 27437: 0.51 1/s
11649.7 27475: 0.64 1/s
11709.9 27514: 0.64 1/s
11769.9 27554: 0.67 1/s
11829.9 27603: 0.82 1/s
11890.0 27644: 0.68 1/s
11950.1 27672: 0.47 1/s
12010.2 27699: 0.44 1/s
12070.4 27728: 0.48 1/s
12130.5 27757: 0.50 1/s
12190.6 27790: 0.54 1/s
12250.8 27816: 0.44 1/s
12310.9 27849: 0.55 1/s
12371.0 27886: 0.62 1/s
12431.3 27923: 0.61 1/s
12491.3 27961: 0.64 1/s
12551.3 27996: 0.58 1/s
12611.4 28036: 0.67 1/s
12671.4 28085: 0.81 1/s
12731.7 28112: 0.45 1/s
12791.9 28150: 0.63 1/s
12852.0 28185: 0.58 1/s
12912.0 28222: 0.62 1/s
12972.1 28263: 0.67 1/s
13032.1 28287: 0.41 1/s
13092.2 28335: 0.79 1/s
13152.2 28375: 0.67 1/s
13212.3 28398: 0.38 1/s
13272.5 28427: 0.49 1/s
13332.6 28455: 0.46 1/s
13392.6 28486: 0.52 1/s
13452.7 28513: 0.45 1/s
13512.8 28542: 0.48 1/s
13572.9 28569: 0.46 1/s
13633.1 28594: 0.41 1/s
13693.2 28621: 0.45 1/s
13753.4 28652: 0.53 1/s
13813.6 28677: 0.41 1/s
13874.0 28700: 0.38 1/s
13934.1 28732: 0.53 1/s
13994.2 28775: 0.71 1/s
14054.4 28804: 0.48 1/s
14114.5 28826: 0.37 1/s
14174.7 28851: 0.40 1/s
14234.8 28871: 0.34 1/s
14295.0 28891: 0.33 1/s
14355.1 28924: 0.54 1/s
14415.3 28953: 0.49 1/s
14475.4 28986: 0.54 1/s
14535.4 29016: 0.50 1/s
14595.5 29042: 0.43 1/s
14655.7 29063: 0.36 1/s
14715.8 29097: 0.56 1/s
14776.0 29120: 0.37 1/s
14836.1 29148: 0.48 1/s
14896.2 29189: 0.67 1/s
14956.3 29220: 0.52 1/s
15016.5 29253: 0.55 1/s
15076.6 29289: 0.61 1/s
15136.7 29314: 0.40 1/s
15196.7 29358: 0.74 1/s
15256.8 29386: 0.46 1/s
15317.0 29409: 0.39 1/s
15377.2 29434: 0.41 1/s
15437.3 29471: 0.62 1/s
15497.4 29498: 0.45 1/s
15557.6 29521: 0.39 1/s
15617.7 29541: 0.33 1/s
15677.8 29568: 0.45 1/s
15737.9 29598: 0.50 1/s
15798.0 29625: 0.46 1/s
15858.1 29658: 0.55 1/s
15918.2 29690: 0.52 1/s
15978.3 29720: 0.50 1/s
16038.4 29756: 0.60 1/s
16098.5 29791: 0.58 1/s
16158.5 29819: 0.48 1/s
16218.6 29849: 0.49 1/s
16278.8 29877: 0.46 1/s
16339.1 29898: 0.35 1/s
16399.1 29922: 0.40 1/s
16459.3 29958: 0.60 1/s
16519.4 29983: 0.41 1/s
16579.5 30008: 0.43 1/s
16639.6 30037: 0.47 1/s
16699.7 30066: 0.49 1/s
16760.0 30086: 0.33 1/s
16820.1 30108: 0.37 1/s
16880.2 30131: 0.38 1/s
16940.3 30151: 0.34 1/s
17000.3 30183: 0.53 1/s
17060.5 30211: 0.47 1/s
17120.8 30241: 0.49 1/s
17180.8 30265: 0.40 1/s
17241.0 30293: 0.46 1/s
17301.2 30316: 0.38 1/s
17361.6 30342: 0.43 1/s
17421.7 30364: 0.37 1/s
17481.8 30390: 0.44 1/s
17541.9 30422: 0.52 1/s
17602.0 30449: 0.46 1/s
17662.0 30477: 0.46 1/s
17722.1 30496: 0.32 1/s
17782.2 30515: 0.31 1/s
17842.2 30539: 0.40 1/s
17902.4 30561: 0.36 1/s
17962.4 30586: 0.43 1/s
18022.6 30615: 0.48 1/s
18082.7 30647: 0.52 1/s
18142.7 30669: 0.38 1/s
18202.9 30688: 0.31 1/s
18263.0 30709: 0.35 1/s
18323.2 30728: 0.32 1/s
18383.4 30746: 0.30 1/s
18443.6 30765: 0.31 1/s
18503.7 30783: 0.30 1/s
18564.0 30800: 0.29 1/s
18624.2 30822: 0.37 1/s
18684.4 30849: 0.45 1/s
18744.4 30877: 0.46 1/s
18804.5 30905: 0.48 1/s
18864.5 30930: 0.41 1/s
18924.7 30957: 0.46 1/s
18984.9 30985: 0.45 1/s
19045.1 31015: 0.51 1/s
19105.3 31041: 0.43 1/s
19165.3 31066: 0.41 1/s
19225.6 31094: 0.47 1/s
19286.0 31112: 0.30 1/s
19346.3 31132: 0.33 1/s
19406.5 31153: 0.35 1/s
19466.8 31174: 0.35 1/s
19527.0 31195: 0.35 1/s
19587.2 31214: 0.31 1/s
19647.3 31231: 0.28 1/s
19707.4 31250: 0.32 1/s
19767.6 31273: 0.38 1/s
19827.8 31297: 0.40 1/s
19888.0 31323: 0.44 1/s
19948.4 31343: 0.33 1/s
20008.6 31366: 0.38 1/s
20069.1 31388: 0.36 1/s
20129.4 31407: 0.32 1/s
20189.5 31434: 0.45 1/s
20249.6 31464: 0.50 1/s
20309.7 31488: 0.40 1/s
20369.9 31509: 0.35 1/s
20430.1 31529: 0.33 1/s
20490.2 31554: 0.42 1/s
20550.5 31581: 0.44 1/s
20610.9 31606: 0.41 1/s
20671.0 31627: 0.35 1/s
20731.2 31648: 0.35 1/s
20791.4 31681: 0.55 1/s
20851.5 31716: 0.58 1/s
20911.5 31744: 0.47 1/s
20971.5 31768: 0.39 1/s
21031.6 31793: 0.42 1/s
21091.9 31812: 0.32 1/s
21152.0 31830: 0.30 1/s
21212.0 31859: 0.49 1/s
21272.1 31883: 0.39 1/s
21332.3 31904: 0.35 1/s
21392.7 31922: 0.30 1/s
21453.1 31936: 0.24 1/s
21513.2 31956: 0.33 1/s
21573.3 31978: 0.36 1/s
21633.5 31999: 0.35 1/s
21693.6 32021: 0.37 1/s
21753.6 32040: 0.32 1/s
21813.7 32059: 0.32 1/s
21873.8 32083: 0.40 1/s
21933.9 32117: 0.55 1/s
21994.2 32145: 0.48 1/s
22054.2 32169: 0.38 1/s
22114.5 32192: 0.39 1/s
22174.7 32209: 0.28 1/s
22234.8 32227: 0.31 1/s
22295.0 32247: 0.33 1/s
22355.1 32274: 0.45 1/s
22415.1 32302: 0.47 1/s
22475.3 32332: 0.49 1/s
22535.6 32352: 0.34 1/s
22595.7 32370: 0.30 1/s
22655.8 32392: 0.36 1/s
22716.0 32408: 0.27 1/s
22776.2 32424: 0.27 1/s
22836.3 32443: 0.32 1/s
22896.5 32463: 0.32 1/s
22956.8 32481: 0.30 1/s
23017.1 32501: 0.34 1/s
23077.3 32528: 0.44 1/s
23137.5 32547: 0.33 1/s
23197.7 32574: 0.44 1/s
23257.7 32594: 0.34 1/s
23317.9 32612: 0.30 1/s
23378.1 32631: 0.31 1/s
23438.1 32653: 0.36 1/s
23498.2 32674: 0.36 1/s
23558.3 32709: 0.58 1/s
23618.4 32733: 0.41 1/s
23678.6 32756: 0.38 1/s
23738.6 32775: 0.31 1/s
23798.9 32792: 0.30 1/s
23859.1 32815: 0.37 1/s
23919.2 32837: 0.37 1/s
23979.4 32861: 0.40 1/s
24039.5 32881: 0.32 1/s
24099.7 32899: 0.31 1/s
24159.8 32923: 0.41 1/s
24219.9 32955: 0.52 1/s
24280.0 32984: 0.49 1/s
24340.3 33007: 0.38 1/s
24400.5 33023: 0.27 1/s
24460.7 33044: 0.35 1/s
24521.1 33066: 0.37 1/s
24581.3 33085: 0.32 1/s
24641.3 33110: 0.41 1/s
24701.7 33133: 0.38 1/s
24761.9 33155: 0.37 1/s
24822.2 33176: 0.35 1/s
24882.3 33194: 0.29 1/s
24942.5 33212: 0.30 1/s
25002.6 33236: 0.41 1/s
25062.7 33258: 0.36 1/s
25122.9 33278: 0.34 1/s
25183.0 33299: 0.35 1/s
25243.2 33317: 0.30 1/s
25303.3 33338: 0.34 1/s
25363.4 33376: 0.64 1/s
25423.4 33410: 0.56 1/s
25483.6 33434: 0.40 1/s
25543.7 33461: 0.46 1/s
25604.0 33488: 0.44 1/s
25664.1 33513: 0.41 1/s
25724.3 33551: 0.64 1/s
25784.5 33584: 0.53 1/s
25844.8 33602: 0.30 1/s
25905.0 33619: 0.29 1/s
25965.3 33636: 0.28 1/s
26025.5 33654: 0.29 1/s
26085.8 33670: 0.27 1/s
26146.1 33688: 0.30 1/s
26206.3 33708: 0.33 1/s
26266.3 33729: 0.35 1/s
26326.3 33749: 0.32 1/s
26386.5 33773: 0.40 1/s
26446.5 33799: 0.43 1/s
26506.6 33827: 0.47 1/s
26566.8 33856: 0.47 1/s
26626.8 33892: 0.60 1/s
26687.0 33918: 0.44 1/s
26747.3 33940: 0.36 1/s
26807.5 33968: 0.46 1/s
26867.6 33993: 0.43 1/s
26927.8 34017: 0.40 1/s
26988.1 34037: 0.33 1/s
27048.3 34057: 0.33 1/s
27108.3 34075: 0.30 1/s
27168.6 34093: 0.29 1/s
27228.7 34114: 0.35 1/s
27288.8 34146: 0.54 1/s
27348.9 34168: 0.36 1/s
27408.9 34198: 0.51 1/s
27469.0 34227: 0.47 1/s
27529.1 34257: 0.50 1/s
