# time  ID  size  fromHost  toHost  TTL  isResponse
695.0000 M139 1000000 S193 S284 400 N 
700.0000 M140 1000000 S243 S388 400 N 
705.0000 M141 1000000 S372 S116 400 N 
710.0000 M142 1000000 S261 S318 400 N 
715.0000 M143 1000000 S139 S61 400 N 
720.0000 M144 1000000 S285 S54 400 N 
725.0000 M145 1000000 S7 S306 400 N 
730.0000 M146 1000000 S287 S415 400 N 
735.0000 M147 1000000 S113 S257 400 N 
740.0000 M148 1000000 S284 S347 400 N 
745.0000 M149 1000000 S252 S180 400 N 
750.0000 M150 1000000 S392 S142 400 N 
755.0000 M151 1000000 S410 S139 400 N 
760.0000 M152 1000000 S422 S81 400 N 
765.0000 M153 1000000 S187 S279 400 N 
770.0000 M154 1000000 S367 S94 400 N 
775.0000 M155 1000000 S191 S261 400 N 
780.0000 M156 1000000 S97 S47 400 N 
785.0000 M157 1000000 S429 S421 400 N 
790.0000 M158 1000000 S228 S206 400 N 
795.0000 M159 1000000 S364 S102 400 N 
800.0000 M160 1000000 S8 S136 400 N 
805.0000 M161 1000000 S414 S255 400 N 
810.0000 M162 1000000 S426 S195 400 N 
815.0000 M163 1000000 S237 S285 400 N 
820.0000 M164 1000000 S245 S88 400 N 
825.0000 M165 1000000 S158 S228 400 N 
830.0000 M166 1000000 S389 S303 400 N 
835.0000 M167 1000000 S418 S196 400 N 
840.0000 M168 1000000 S71 S39 400 N 
845.0000 M169 1000000 S298 S106 400 N 
850.0000 M170 1000000 S365 S62 400 N 
855.0000 M171 1000000 S267 S207 400 N 
860.0000 M172 1000000 S206 S227 400 N 
865.0000 M173 1000000 S183 S193 400 N 
870.0000 M174 1000000 S409 S213 400 N 
875.0000 M175 1000000 S283 S268 400 N 
880.0000 M176 1000000 S169 S39 400 N 
885.0000 M177 1000000 S232 S229 400 N 
890.0000 M178 1000000 S164 S100 400 N 
895.0000 M179 1000000 S408 S131 400 N 
900.0000 M180 1000000 S398 S217 400 N 
905.0000 M181 1000000 S418 S58 400 N 
910.0000 M182 1000000 S140 S83 400 N 
915.0000 M183 1000000 S137 S293 400 N 
920.0000 M184 1000000 S290 S325 400 N 
925.0000 M185 1000000 S190 S47 400 N 
930.0000 M186 1000000 S413 S261 400 N 
935.0000 M187 1000000 S278 S207 400 N 
940.0000 M188 1000000 S428 S372 400 N 
945.0000 M189 1000000 S231 S430 400 N 
950.0000 M190 1000000 S265 S393 400 N 
955.0000 M191 1000000 S316 S293 400 N 
960.0000 M192 1000000 S390 S90 400 N 
965.0000 M193 1000000 S295 S72 400 N 
970.0000 M194 1000000 S147 S198 400 N 
975.0000 M195 1000000 S54 S57 400 N 
980.0000 M196 1000000 S379 S177 400 N 
985.0000 M197 1000000 S366 S314 400 N 
990.0000 M198 1000000 S46 S316 400 N 
995.0000 M199 1000000 S276 S99 400 N 
1000.0000 M200 1000000 S138 S400 400 N 
1005.0000 M201 1000000 S123 S348 400 N 
1010.0000 M202 1000000 S322 S7 400 N 
1015.0000 M203 1000000 S311 S55 400 N 
1020.0000 M204 1000000 S97 S200 400 N 
1025.0000 M205 1000000 S224 S270 400 N 
1030.0000 M206 1000000 S23 S301 400 N 
1035.0000 M207 1000000 S50 S260 400 N 
1040.0000 M208 1000000 S34 S194 400 N 
1045.0000 M209 1000000 S97 S203 400 N 
1050.0000 M210 1000000 S72 S316 400 N 
1055.0000 M211 1000000 S250 S81 400 N 
1060.0000 M212 1000000 S17 S68 400 N 
1065.0000 M213 1000000 S133 S103 400 N 
1070.0000 M214 1000000 S369 S255 400 N 
1075.0000 M215 1000000 S311 S145 400 N 
1080.0000 M216 1000000 S163 S155 400 N 
1085.0000 M217 1000000 S147 S419 400 N 
1090.0000 M218 1000000 S129 S104 400 N 
1095.0000 M219 1000000 S368 S221 400 N 
1100.0000 M220 1000000 S31 S304 400 N 
1105.0000 M221 1000000 S214 S37 400 N 
1110.0000 M222 1000000 S24 S308 400 N 
1115.0000 M223 1000000 S290 S286 400 N 
1120.0000 M224 1000000 S145 S117 400 N 
1125.0000 M225 1000000 S329 S146 400 N 
1130.0000 M226 1000000 S57 S252 400 N 
1135.0000 M227 1000000 S410 S177 400 N 
1140.0000 M228 1000000 S370 S118 400 N 
1145.0000 M229 1000000 S139 S278 400 N 
1150.0000 M230 1000000 S137 S256 400 N 
1155.0000 M231 1000000 S325 S386 400 N 
1160.0000 M232 1000000 S288 S107 400 N 
1165.0000 M233 1000000 S92 S376 400 N 
1170.0000 M234 1000000 S14 S43 400 N 
1175.0000 M235 1000000 S246 S116 400 N 
1180.0000 M236 1000000 S28 S210 400 N 
