# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2088.0000 M454 5000000 3 726.0000 S148 S117 387 N S148->S97->7_277->S117
2090.7000 M92 5000000 4 1814.7000 S184 S133 369 N S184->3_235->S127->4_247->S133
2093.3000 M446 5000000 3 755.3000 S180 S25 387 N S180->S110->4_246->S25
2093.7000 M221 5000000 4 1430.7000 S10 S103 376 N S10->2_225->S116->4_247->S103
2095.0000 M698 5000000 1 1.0000 S48 S120 399 N S48->S120
2098.6000 M89 5000000 4 1831.6000 S140 S165 369 N S140->3_234->S124->2_225->S165
2115.6000 M353 5000000 4 1056.6000 S201 S38 382 N S201->7_276->S88->6T_260->S38
2147.5000 M277 5000000 2 1316.5000 S154 S56 378 N S154->7_275->S56
2148.5000 M21 5000000 2 2085.5000 S83 S56 365 N S83->7_275->S56
2150.5000 M422 5000000 5 884.5000 S211 S201 385 N S211->S20->9_305->S33->7_275->S201
2151.9000 M80 5000000 4 1911.9000 S184 S110 368 N S184->3_235->S127->4_247->S110
2168.0000 M556 5000000 2 500.0000 S61 S28 391 N S61->4_245->S28
2175.3000 M266 5000000 5 1377.3000 S206 S22 377 N S206->S117->3_234->S100->3_235->S22
2176.3000 M203 5000000 5 1567.3000 S149 S22 373 N S149->S84->7_275->S9->3_235->S22
2177.3000 M182 5000000 7 1631.3000 S31 S89 372 N S31->S14->2_225->S151->7_275->S9->3_235->S89
2178.3000 M256 5000000 3 1410.3000 S154 S89 376 N S154->S9->3_235->S89
2188.5000 M172 5000000 4 1672.5000 S72 S173 372 N S72->2_224->S131->2_225->S173
2201.0000 M86 5000000 7 1943.0000 S163 S137 367 N S163->S82->7_275->S161->2_227->S31->2_224->S137
2202.3000 M58 5000000 4 2028.3000 S145 S39 366 N S145->9_305->S33->7_275->S39
2203.0000 M312 5000000 5 1267.0000 S132 S190 378 N S132->S161->4_246->S31->2_224->S190
2204.8000 M71 5000000 5 1991.8000 S45 S2 366 N S45->S26->4_246->S161->2_227->S2
2205.8000 M522 5000000 2 639.8000 S113 S2 389 N S113->2_227->S2
2210.9000 M178 5000000 4 1676.9000 S199 S44 372 N S199->4_245->S8->4_246->S44
2211.9000 M48 5000000 4 2067.9000 S51 S44 365 N S51->S121->3_234->4_246->S44
2212.1000 M232 5000000 4 1516.1000 S102 S59 374 N S102->2_224->S151->3_236->S59
2213.1000 M105 5000000 4 1898.1000 S124 S59 368 N S124->2_224->S151->3_236->S59
2215.1000 M438 5000000 2 901.1000 S150 S42 384 N S150->3_236->S42
2230.7000 M272 5000000 3 1414.7000 S163 S96 376 N S163->9_306->9_305->S96
2231.6000 M204 5000000 3 1619.6000 S97 S170 373 N S97->6T_260->7_276->S170
2231.7000 M184 5000000 4 1679.7000 S8 S83 372 N S8->3_234->S42->9_305->S83
2232.6000 M33 5000000 2 2133.6000 S67 S170 364 N S67->7_276->S170
2232.7000 M108 5000000 4 1908.7000 S135 S96 368 N S135->2_224->S20->9_305->S96
2239.9000 M379 5000000 2 1102.9000 S111 S62 381 N S111->4_246->S62
2240.9000 M260 5000000 4 1460.9000 S180 S62 375 N S180->4_245->S187->4_246->S62
2255.1000 M360 5000000 2 1175.1000 S155 S132 380 N S155->7_277->S132
