# time  ID  size  fromHost  toHost  TTL  isResponse
3.0000 M1 1000000 S198 S84 200 N 
6.0000 M2 1000000 S25 S79 200 N 
9.0000 M3 1000000 S131 S76 200 N 
12.0000 M4 1000000 S202 S61 200 N 
15.0000 M5 1000000 S194 S56 200 N 
18.0000 M6 1000000 S47 S183 200 N 
21.0000 M7 1000000 S207 S196 200 N 
24.0000 M8 1000000 S106 S140 200 N 
27.0000 M9 1000000 S211 S180 200 N 
30.0000 M10 1000000 S53 S145 200 N 
33.0000 M11 1000000 S55 S212 200 N 
36.0000 M12 1000000 S101 S134 200 N 
39.0000 M13 1000000 S180 S6 200 N 
42.0000 M14 1000000 S192 S38 200 N 
45.0000 M15 1000000 S145 S78 200 N 
48.0000 M16 1000000 S21 S73 200 N 
51.0000 M17 1000000 S118 S99 200 N 
54.0000 M18 1000000 S197 S208 200 N 
57.0000 M19 1000000 S116 S169 200 N 
60.0000 M20 1000000 S98 S104 200 N 
63.0000 M21 1000000 S83 S56 200 N 
66.0000 M22 1000000 S160 S11 200 N 
69.0000 M23 1000000 S203 S36 200 N 
72.0000 M24 1000000 S136 S20 200 N 
75.0000 M25 1000000 S187 S26 200 N 
78.0000 M26 1000000 S48 S135 200 N 
81.0000 M27 1000000 S71 S81 200 N 
84.0000 M28 1000000 S61 S140 200 N 
87.0000 M29 1000000 S177 S64 200 N 
90.0000 M30 1000000 S101 S211 200 N 
93.0000 M31 1000000 S87 S142 200 N 
96.0000 M32 1000000 S81 S117 200 N 
99.0000 M33 1000000 S67 S170 200 N 
102.0000 M34 1000000 S187 S141 200 N 
105.0000 M35 1000000 S157 S164 200 N 
108.0000 M36 1000000 S3 S32 200 N 
111.0000 M37 1000000 S108 S5 200 N 
114.0000 M38 1000000 S211 S125 200 N 
117.0000 M39 1000000 S144 S2 200 N 
120.0000 M40 1000000 S6 S48 200 N 
123.0000 M41 1000000 S77 S15 200 N 
126.0000 M42 1000000 S66 S183 200 N 
129.0000 M43 1000000 S21 S45 200 N 
132.0000 M44 1000000 S108 S20 200 N 
135.0000 M45 1000000 S191 S171 200 N 
138.0000 M46 1000000 S126 S125 200 N 
141.0000 M47 1000000 S185 S13 200 N 
144.0000 M48 1000000 S51 S44 200 N 
147.0000 M49 1000000 S167 S133 200 N 
150.0000 M50 1000000 S164 S21 200 N 
153.0000 M51 1000000 S77 S4 200 N 
156.0000 M52 1000000 S125 S165 200 N 
159.0000 M53 1000000 S59 S119 200 N 
162.0000 M54 1000000 S8 S183 200 N 
165.0000 M55 1000000 S117 S26 200 N 
168.0000 M56 1000000 S33 S204 200 N 
171.0000 M57 1000000 S15 S82 200 N 
174.0000 M58 1000000 S145 S39 200 N 
177.0000 M59 1000000 S65 S93 200 N 
180.0000 M60 1000000 S66 S70 200 N 
183.0000 M61 1000000 S61 S128 200 N 
186.0000 M62 1000000 S61 S52 200 N 
189.0000 M63 1000000 S86 S66 200 N 
192.0000 M64 1000000 S94 S189 200 N 
195.0000 M65 1000000 S206 S34 200 N 
198.0000 M66 1000000 S75 S43 200 N 
201.0000 M67 1000000 S183 S161 200 N 
204.0000 M68 1000000 S96 S168 200 N 
207.0000 M69 1000000 S190 S93 200 N 
210.0000 M70 1000000 S2 S134 200 N 
213.0000 M71 1000000 S45 S2 200 N 
216.0000 M72 1000000 S52 S201 200 N 
219.0000 M73 1000000 S46 S196 200 N 
222.0000 M74 1000000 S87 S105 200 N 
225.0000 M75 1000000 S105 S72 200 N 
228.0000 M76 1000000 S58 S173 200 N 
231.0000 M77 1000000 S178 S66 200 N 
234.0000 M78 1000000 S149 S180 200 N 
237.0000 M79 1000000 S129 S182 200 N 
240.0000 M80 1000000 S184 S110 200 N 
243.0000 M81 1000000 S107 S150 200 N 
246.0000 M82 1000000 S64 S29 200 N 
249.0000 M83 1000000 S156 S111 200 N 
252.0000 M84 1000000 S159 S11 200 N 
255.0000 M85 1000000 S13 S141 200 N 
258.0000 M86 1000000 S163 S137 200 N 
261.0000 M87 1000000 S191 S159 200 N 
264.0000 M88 1000000 S32 S114 200 N 
