# time  ID  size  fromHost  toHost  TTL  isResponse
94.0000 M94 1000000 S188 S177 600 N 
95.0000 M95 1000000 S137 S185 600 N 
96.0000 M96 1000000 S203 S133 600 N 
97.0000 M97 1000000 S62 S29 600 N 
98.0000 M98 1000000 S113 S1 600 N 
99.0000 M99 1000000 S7 S64 600 N 
100.0000 M100 1000000 S57 S38 600 N 
101.0000 M101 1000000 S98 S146 600 N 
102.0000 M102 1000000 S127 S160 600 N 
103.0000 M103 1000000 S103 S131 600 N 
104.0000 M104 1000000 S0 S169 600 N 
105.0000 M105 1000000 S124 S59 600 N 
106.0000 M106 1000000 S55 S11 600 N 
107.0000 M107 1000000 S0 S133 600 N 
108.0000 M108 1000000 S135 S96 600 N 
109.0000 M109 1000000 S12 S13 600 N 
110.0000 M110 1000000 S47 S61 600 N 
111.0000 M111 1000000 S18 S72 600 N 
112.0000 M112 1000000 S73 S120 600 N 
113.0000 M113 1000000 S20 S93 600 N 
114.0000 M114 1000000 S192 S46 600 N 
115.0000 M115 1000000 S16 S187 600 N 
116.0000 M116 1000000 S123 S160 600 N 
117.0000 M117 1000000 S59 S92 600 N 
118.0000 M118 1000000 S200 S1 600 N 
119.0000 M119 1000000 S155 S17 600 N 
120.0000 M120 1000000 S29 S28 600 N 
121.0000 M121 1000000 S58 S153 600 N 
122.0000 M122 1000000 S117 S6 600 N 
123.0000 M123 1000000 S53 S161 600 N 
124.0000 M124 1000000 S174 S55 600 N 
125.0000 M125 1000000 S48 S179 600 N 
126.0000 M126 1000000 S136 S175 600 N 
127.0000 M127 1000000 S169 S138 600 N 
128.0000 M128 1000000 S202 S151 600 N 
129.0000 M129 1000000 S123 S142 600 N 
130.0000 M130 1000000 S18 S14 600 N 
131.0000 M131 1000000 S178 S16 600 N 
132.0000 M132 1000000 S32 S136 600 N 
133.0000 M133 1000000 S210 S77 600 N 
134.0000 M134 1000000 S173 S179 600 N 
135.0000 M135 1000000 S16 S191 600 N 
136.0000 M136 1000000 S151 S189 600 N 
137.0000 M137 1000000 S62 S191 600 N 
138.0000 M138 1000000 S208 S47 600 N 
139.0000 M139 1000000 S174 S163 600 N 
140.0000 M140 1000000 S65 S3 600 N 
141.0000 M141 1000000 S178 S141 600 N 
142.0000 M142 1000000 S65 S120 600 N 
143.0000 M143 1000000 S207 S181 600 N 
144.0000 M144 1000000 S19 S174 600 N 
145.0000 M145 1000000 S150 S76 600 N 
146.0000 M146 1000000 S27 S128 600 N 
147.0000 M147 1000000 S109 S131 600 N 
148.0000 M148 1000000 S83 S131 600 N 
149.0000 M149 1000000 S17 S51 600 N 
150.0000 M150 1000000 S81 S47 600 N 
151.0000 M151 1000000 S205 S209 600 N 
152.0000 M152 1000000 S28 S113 600 N 
153.0000 M153 1000000 S51 S124 600 N 
154.0000 M154 1000000 S204 S76 600 N 
155.0000 M155 1000000 S46 S17 600 N 
156.0000 M156 1000000 S39 S127 600 N 
157.0000 M157 1000000 S11 S75 600 N 
158.0000 M158 1000000 S34 S144 600 N 
159.0000 M159 1000000 S80 S205 600 N 
160.0000 M160 1000000 S48 S206 600 N 
161.0000 M161 1000000 S166 S105 600 N 
162.0000 M162 1000000 S168 S24 600 N 
163.0000 M163 1000000 S93 S129 600 N 
164.0000 M164 1000000 S6 S47 600 N 
165.0000 M165 1000000 S88 S104 600 N 
166.0000 M166 1000000 S51 S188 600 N 
167.0000 M167 1000000 S102 S88 600 N 
168.0000 M168 1000000 S127 S197 600 N 
169.0000 M169 1000000 S39 S52 600 N 
170.0000 M170 1000000 S61 S23 600 N 
171.0000 M171 1000000 S35 S60 600 N 
172.0000 M172 1000000 S72 S173 600 N 
173.0000 M173 1000000 S2 S90 600 N 
174.0000 M174 1000000 S97 S55 600 N 
175.0000 M175 1000000 S201 S190 600 N 
176.0000 M176 1000000 S154 S181 600 N 
177.0000 M177 1000000 S138 S142 600 N 
178.0000 M178 1000000 S199 S44 600 N 
179.0000 M179 1000000 S112 S75 600 N 
180.0000 M180 1000000 S191 S116 600 N 
181.0000 M181 1000000 S169 S82 600 N 
182.0000 M182 1000000 S31 S89 600 N 
183.0000 M183 1000000 S5 S20 600 N 
184.0000 M184 1000000 S8 S83 600 N 
185.0000 M185 1000000 S115 S52 600 N 
186.0000 M186 1000000 S65 S83 600 N 
187.0000 M187 1000000 S207 S68 600 N 
188.0000 M188 1000000 S108 S152 600 N 
189.0000 M189 1000000 S195 S187 600 N 
190.0000 M190 1000000 S106 S204 600 N 
191.0000 M191 1000000 S202 S86 600 N 
192.0000 M192 1000000 S123 S150 600 N 
193.0000 M193 1000000 S166 S126 600 N 
194.0000 M194 1000000 S138 S168 600 N 
195.0000 M195 1000000 S75 S186 600 N 
196.0000 M196 1000000 S40 S168 600 N 
197.0000 M197 1000000 S198 S125 600 N 
198.0000 M198 1000000 S22 S1 600 N 
199.0000 M199 1000000 S102 S153 600 N 
200.0000 M200 1000000 S171 S40 600 N 
201.0000 M201 1000000 S36 S162 600 N 
202.0000 M202 1000000 S133 S199 600 N 
203.0000 M203 1000000 S149 S22 600 N 
204.0000 M204 1000000 S97 S170 600 N 
205.0000 M205 1000000 S32 S15 600 N 
206.0000 M206 1000000 S101 S82 600 N 
207.0000 M207 1000000 S5 S140 600 N 
208.0000 M208 1000000 S85 S200 600 N 
209.0000 M209 1000000 S79 S107 600 N 
210.0000 M210 1000000 S6 S25 600 N 
211.0000 M211 1000000 S43 S117 600 N 
212.0000 M212 1000000 S11 S74 600 N 
213.0000 M213 1000000 S34 S46 600 N 
214.0000 M214 1000000 S138 S21 600 N 
215.0000 M215 1000000 S62 S118 600 N 
216.0000 M216 1000000 S13 S32 600 N 
217.0000 M217 1000000 S186 S146 600 N 
218.0000 M218 1000000 S147 S128 600 N 
219.0000 M219 1000000 S65 S104 600 N 
220.0000 M220 1000000 S127 S211 600 N 
221.0000 M221 1000000 S10 S103 600 N 
222.0000 M222 1000000 S144 S14 600 N 
223.0000 M223 1000000 S104 S43 600 N 
224.0000 M224 1000000 S130 S69 600 N 
225.0000 M225 1000000 S164 S68 600 N 
226.0000 M226 1000000 S27 S177 600 N 
227.0000 M227 1000000 S182 S87 600 N 
228.0000 M228 1000000 S148 S151 600 N 
229.0000 M229 1000000 S7 S5 600 N 
230.0000 M230 1000000 S200 S184 600 N 
231.0000 M231 1000000 S40 S44 600 N 
232.0000 M232 1000000 S102 S59 600 N 
233.0000 M233 1000000 S32 S58 600 N 
234.0000 M234 1000000 S23 S76 600 N 
235.0000 M235 1000000 S54 S155 600 N 
236.0000 M236 1000000 S112 S36 600 N 
237.0000 M237 1000000 S99 S198 600 N 
238.0000 M238 1000000 S152 S5 600 N 
239.0000 M239 1000000 S98 S28 600 N 
240.0000 M240 1000000 S29 S59 600 N 
241.0000 M241 1000000 S123 S40 600 N 
242.0000 M242 1000000 S46 S136 600 N 
243.0000 M243 1000000 S186 S185 600 N 
244.0000 M244 1000000 S177 S87 600 N 
245.0000 M245 1000000 S19 S132 600 N 
246.0000 M246 1000000 S172 S65 600 N 
247.0000 M247 1000000 S100 S76 600 N 
248.0000 M248 1000000 S111 S5 600 N 
249.0000 M249 1000000 S168 S15 600 N 
250.0000 M250 1000000 S30 S161 600 N 
251.0000 M251 1000000 S121 S76 600 N 
252.0000 M252 1000000 S37 S17 600 N 
253.0000 M253 1000000 S19 S22 600 N 
254.0000 M254 1000000 S123 S132 600 N 
255.0000 M255 1000000 S75 S73 600 N 
256.0000 M256 1000000 S154 S89 600 N 
257.0000 M257 1000000 S212 S39 600 N 
258.0000 M258 1000000 S124 S144 600 N 
259.0000 M259 1000000 S47 S108 600 N 
260.0000 M260 1000000 S180 S62 600 N 
261.0000 M261 1000000 S7 S175 600 N 
262.0000 M262 1000000 S6 S206 600 N 
263.0000 M263 1000000 S20 S181 600 N 
264.0000 M264 1000000 S128 S21 600 N 
265.0000 M265 1000000 S208 S205 600 N 
266.0000 M266 1000000 S206 S22 600 N 
267.0000 M267 1000000 S17 S51 600 N 
268.0000 M268 1000000 S58 S82 600 N 
269.0000 M269 1000000 S89 S186 600 N 
270.0000 M270 1000000 S157 S199 600 N 
271.0000 M271 1000000 S204 S168 600 N 
272.0000 M272 1000000 S163 S96 600 N 
273.0000 M273 1000000 S130 S45 600 N 
274.0000 M274 1000000 S106 S134 600 N 
275.0000 M275 1000000 S14 S134 600 N 
276.0000 M276 1000000 S17 S107 600 N 
277.0000 M277 1000000 S154 S56 600 N 
278.0000 M278 1000000 S22 S82 600 N 
279.0000 M279 1000000 S162 S101 600 N 
280.0000 M280 1000000 S18 S81 600 N 
281.0000 M281 1000000 S80 S171 600 N 
282.0000 M282 1000000 S16 S89 600 N 
283.0000 M283 1000000 S169 S171 600 N 
284.0000 M284 1000000 S17 S51 600 N 
285.0000 M285 1000000 S104 S149 600 N 
286.0000 M286 1000000 S96 S149 600 N 
287.0000 M287 1000000 S206 S86 600 N 
288.0000 M288 1000000 S11 S67 600 N 
289.0000 M289 1000000 S192 S102 600 N 
290.0000 M290 1000000 S45 S114 600 N 
291.0000 M291 1000000 S70 S120 600 N 
292.0000 M292 1000000 S203 S72 600 N 
293.0000 M293 1000000 S107 S204 600 N 
294.0000 M294 1000000 S163 S175 600 N 
295.0000 M295 1000000 S71 S12 600 N 
296.0000 M296 1000000 S20 S46 600 N 
297.0000 M297 1000000 S89 S150 600 N 
298.0000 M298 1000000 S15 S105 600 N 
299.0000 M299 1000000 S93 S31 600 N 
300.0000 M300 1000000 S36 S49 600 N 
301.0000 M301 1000000 S3 S158 600 N 
302.0000 M302 1000000 S71 S138 600 N 
303.0000 M303 1000000 S177 S124 600 N 
304.0000 M304 1000000 S71 S157 600 N 
305.0000 M305 1000000 S38 S11 600 N 
306.0000 M306 1000000 S89 S201 600 N 
307.0000 M307 1000000 S192 S187 600 N 
308.0000 M308 1000000 S166 S189 600 N 
309.0000 M309 1000000 S159 S104 600 N 
310.0000 M310 1000000 S24 S63 600 N 
311.0000 M311 1000000 S1 S97 600 N 
312.0000 M312 1000000 S132 S190 600 N 
313.0000 M313 1000000 S55 S83 600 N 
314.0000 M314 1000000 S61 S37 600 N 
315.0000 M315 1000000 S17 S194 600 N 
316.0000 M316 1000000 S123 S78 600 N 
317.0000 M317 1000000 S158 S30 600 N 
318.0000 M318 1000000 S122 S181 600 N 
319.0000 M319 1000000 S114 S190 600 N 
