# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
3282.4000 M200 5000000 3 2282.4000 S171 S40 361 N S171->S71->7_277->S40
3282.7000 M560 5000000 3 482.7000 S104 S8 391 N S104->S55->3_234->S8
3283.8000 M70 5000000 2 2933.8000 S2 S134 351 N S2->2_226->S134
3295.2000 M148 5000000 5 2555.2000 S83 S131 357 N S83->S96->6T_260->S32->2_225->S131
3297.6000 M446 5000000 2 1067.6000 S180 S25 382 N S180->4_245->S25
3315.8000 M189 5000000 3 2370.8000 S195 S187 360 N S195->S115->3_237->S187
3325.9000 M1 5000000 4 3320.9000 S198 S84 344 N S198->S85->3_234->9_307->S84
3328.4000 M158 5000000 5 2538.4000 S34 S144 357 N S34->S0->7_277->S161->2_224->S144
3361.4000 M80 5000000 5 2961.4000 S184 S110 350 N S184->3_235->S123->S127->4_246->S110
3375.0000 M556 5000000 2 595.0000 S61 S28 390 N S61->4_247->S28
3380.0000 M203 5000000 6 2365.0000 S149 S22 360 N S149->S84->9_306->S9->S154->3_234->S22
3385.0000 M282 5000000 5 1975.0000 S16 S89 367 N S16->S147->7_276->S100->3_234->S89
3408.9000 M522 5000000 2 798.9000 S113 S2 386 N S113->2_224->S2
3434.8000 M272 5000000 2 2074.8000 S163 S96 365 N S163->9_307->S96
3442.4000 M379 5000000 2 1547.4000 S111 S62 374 N S111->4_245->S62
3456.9000 M438 5000000 2 1266.9000 S150 S42 378 N S150->3_237->S42
3458.6000 M319 5000000 3 1863.6000 S114 S190 368 N S114->S72->2_226->S190
3470.4000 M448 5000000 2 1230.4000 S161 S156 379 N S161->2_224->S156
3485.4000 M151 5000000 4 2730.4000 S205 S209 354 N S205->7_276->S161->2_224->S209
3495.0000 M698 5000000 1 5.0000 S48 S120 399 N S48->S120
3508.3000 M311 5000000 2 1953.3000 S1 S97 367 N S1->9_307->S97
3509.3000 M248 5000000 4 2269.3000 S111 S5 362 N S111->4_247->S8->3_237->S5
3512.9000 M245 5000000 2 2287.9000 S19 S132 361 N S19->4_247->S132
3534.2000 M390 5000000 2 1584.2000 S41 S158 373 N S41->9_308->S158
3550.7000 M395 5000000 4 1575.7000 S82 S24 373 N S82->7_277->S154->3_234->S24
3555.7000 M459 5000000 4 1260.7000 S183 S24 378 N S183->7_277->S154->3_234->S24
3560.7000 M162 5000000 4 2750.7000 S168 S24 354 N S168->7_276->S100->3_234->S24
3612.4000 M214 5000000 3 2542.4000 S138 S21 357 N S138->4_247->3_234->S21
3617.4000 M50 5000000 3 3367.4000 S164 S21 343 N S164->S80->3_234->S21
3627.4000 M28 5000000 4 3487.4000 S61 S140 341 N S61->S92->4_246->3_234->S140
3655.3000 M369 5000000 3 1810.3000 S63 S130 369 N S63->4_246->3_236->S130
3676.0000 M293 5000000 2 2211.0000 S107 S204 363 N S107->3_234->S204
3677.4000 M58 5000000 6 3387.4000 S145 S39 343 N S145->9_305->S88->9_306->S194->7_275->S39
3681.0000 M106 5000000 3 3151.0000 S55 S11 347 N S55->S104->3_234->S11
3699.6000 M254 5000000 3 2429.6000 S123 S132 359 N S123->S127->4_246->S132
3706.8000 M113 5000000 7 3141.8000 S20 S93 347 N S20->S211->S207->7_276->S155->7_279->S5->S93
3708.5000 M578 5000000 3 818.5000 S102 S197 386 N S102->S64->2_224->S197
