# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2725.4000 M268 5000000 5 1921.4000 S58 S82 567 N S58->3_234->S33->S100->7_276->S82
2750.5000 M17 5000000 4 2699.5000 S118 S99 555 N S118->4_246->S161->2_227->S99
2752.4000 M349 5000000 4 1705.4000 S183 S126 571 N S183->7_275->S55->3_236->S126
2785.7000 M285 5000000 6 1930.7000 S104 S149 567 N S104->S55->3_234->S33->S100->7_276->S149
2788.0000 M215 5000000 2 2143.0000 S62 S118 564 N S62->4_247->S118
2814.6000 M327 5000000 5 1833.6000 S108 S124 569 N S108->S57->4_246->S161->2_227->S124
2839.5000 M25 5000000 6 2764.5000 S187 S26 553 N S187->S151->4_246->S110->S180->4_247->S26
2842.2000 M503 5000000 3 1333.2000 S189 S154 577 N S189->S172->3_234->S154
2844.6000 M571 5000000 3 1131.6000 S74 S119 581 N S74->S181->2_227->S119
2895.1000 M272 5000000 5 2079.1000 S163 S96 565 N S163->S82->7_277->S152->7_276->S96
2900.1000 M313 5000000 6 1961.1000 S55 S83 567 N S55->S104->6T_260->S33->S100->7_276->S83
2912.0000 M969 5000000 1 5.0000 S102 S64 599 N S102->S64
2931.2000 M375 5000000 2 1806.2000 S112 S124 569 N S112->7_277->S124
2984.1000 M148 5000000 4 2540.1000 S83 S131 557 N S83->6T_260->S151->2_227->S131
3003.5000 M113 5000000 2 2664.5000 S20 S93 555 N S20->9_307->S93
3051.1000 M804 5000000 2 639.1000 S62 S109 589 N S62->4_246->S109
3082.6000 M775 5000000 3 757.6000 S180 S127 587 N S180->S110->4_245->S127
3111.8000 M256 5000000 5 2343.8000 S154 S89 560 N S154->S9->3_235->S115->3_237->S89
3125.1000 M891 5000000 2 452.1000 S90 S33 592 N S90->7_278->S33
3141.1000 M376 5000000 3 2013.1000 S40 S50 566 N S40->S81->7_276->S50
3145.5000 M136 5000000 2 2737.5000 S151 S189 554 N S151->3_236->S189
3146.1000 M65 5000000 5 2951.1000 S206 S34 550 N S206->S117->3_234->S33->7_276->S34
3150.5000 M64 5000000 5 2958.5000 S94 S189 550 N S94->9_305->S104->S55->3_236->S189
3155.9000 M716 5000000 2 1007.9000 S143 S202 583 N S143->2_225->S202
3173.6000 M410 5000000 5 1943.6000 S93 S187 567 N S93->S5->7_276->S161->2_224->S187
3197.0000 M1064 5000000 1 5.0000 S121 S51 599 N S121->S51
3211.5000 M680 5000000 2 1171.5000 S178 S187 580 N S178->3_234->S187
3251.0000 M1082 5000000 1 5.0000 S96 S83 599 N S96->S83
3254.1000 M219 5000000 4 2597.1000 S65 S104 556 N S65->7_275->S205->7_278->S104
3264.4000 M755 5000000 3 999.4000 S149 S100 583 N S149->S84->9_308->S100
3269.4000 M582 5000000 3 1523.4000 S206 S100 574 N S206->S117->9_308->S100
3270.6000 M942 5000000 3 444.6000 S19 S61 592 N S19->S118->4_247->S61
3282.4000 M200 5000000 2 2682.4000 S171 S40 555 N S171->7_277->S40
3291.7000 M443 5000000 6 1962.7000 S189 S23 567 N S189->S172->3_234->S198->S85->3_236->S23
3371.3000 M556 5000000 2 1703.3000 S61 S28 571 N S61->4_247->S28
3379.0000 M182 5000000 5 2833.0000 S31 S89 552 N S31->S14->2_225->S8->3_234->S89
3384.0000 M203 5000000 5 2775.0000 S149 S22 553 N S149->S84->7_275->S117->3_234->S22
3389.0000 M266 5000000 3 2591.0000 S206 S22 556 N S206->S117->3_234->S22
3393.6000 M76 5000000 6 3165.6000 S58 S173 547 N S58->3_234->S8->4_245->S31->2_227->S173
3408.6000 M312 5000000 7 2472.6000 S132 S190 558 N S132->S161->2_227->S113->2_224->S8->2_226->S190
3408.9000 M71 5000000 5 3195.9000 S45 S2 546 N S45->S26->4_245->S161->2_224->S2
3434.8000 M727 5000000 2 1253.8000 S168 S96 579 N S168->9_307->S96
3467.8000 M874 5000000 4 845.8000 S31 S93 585 N S31->2_224->S151->3_237->S93
3490.4000 M1091 5000000 3 217.4000 S144 S209 596 N S144->S10->2_224->S209
3502.4000 M250 5000000 3 2752.4000 S30 S161 554 N S30->S116->4_247->S161
3612.4000 M50 5000000 5 3462.4000 S164 S21 542 N S164->3_236->S115->S195->3_234->S21
3614.4000 M728 5000000 2 1430.4000 S168 S67 576 N S168->7_277->S67
3623.0000 M826 5000000 6 1145.0000 S156 S102 580 N S156->S209->2_226->S144->S10->2_224->S102
3623.1000 M908 5000000 3 899.1000 S33 S161 585 N S33->S100->7_278->S161
3646.8000 M204 5000000 2 3034.8000 S97 S170 549 N S97->7_279->S170
3653.3000 M759 5000000 2 1376.3000 S44 S113 577 N S44->4_246->S113
3656.4000 M563 5000000 5 1967.4000 S88 S1 567 N S88->9_307->S104->S55->9_308->S1
3658.3000 M577 5000000 2 1927.3000 S186 S113 567 N S186->4_246->S113
3701.9000 M614 5000000 2 1859.9000 S63 S132 569 N S63->4_246->S132
3711.2000 M346 5000000 5 2673.2000 S126 S145 555 N S126->3_234->S104->S55->9_308->S145
3712.2000 M184 5000000 6 3160.2000 S8 S83 547 N S8->2_225->S151->7_275->S112->9_305->S83
3713.6000 M690 5000000 3 1643.6000 S23 S85 572 N S23->S122->3_236->S85
3717.2000 M786 5000000 2 1359.2000 S148 S83 577 N S148->9_305->S83
3718.6000 M362 5000000 3 2632.6000 S44 S198 556 N S44->4_246->3_236->S198
3740.7000 M287 5000000 3 2879.7000 S206 S86 552 N S206->S117->3_234->S86
3824.7000 M669 5000000 2 1817.7000 S183 S55 569 N S183->7_279->S55
3845.3000 M1055 5000000 2 680.3000 S145 S47 588 N S145->9_306->S47
3861.9000 M663 5000000 5 1872.9000 S210 S17 568 N S210->3_237->S101->S24->3_234->S17
3866.9000 M751 5000000 3 1613.9000 S101 S17 573 N S101->S24->3_234->S17
3870.6000 M78 5000000 5 3636.6000 S149 S180 539 N S149->S84->7_275->S134->4_247->S180
3871.5000 M628 5000000 2 1987.5000 S136 S74 566 N S136->2_224->S74
3882.5000 M297 5000000 3 2991.5000 S89 S150 550 N S89->S22->3_235->S150
3883.1000 M289 5000000 3 3016.1000 S192 S102 549 N S192->S72->2_225->S102
3903.1000 M149 5000000 3 3456.1000 S17 S51 542 N S17->S157->3_237->S51
3926.0000 M470 5000000 3 2516.0000 S57 S103 558 N S57->S108->4_247->S103
3952.1000 M430 5000000 2 2662.1000 S186 S92 555 N S186->4_246->S92
3956.2000 M597 5000000 2 2165.2000 S58 S196 563 N S58->3_237->S196
3957.1000 M916 5000000 2 1209.1000 S63 S92 579 N S63->4_246->S92
3987.1000 M965 5000000 3 1092.1000 S103 S19 581 N S103->S133->4_246->S19
4007.1000 M793 5000000 2 1628.1000 S88 S55 572 N S88->9_306->S55
4066.8000 M782 5000000 2 1720.8000 S137 S7 571 N S137->2_224->S7
4073.4000 M1162 5000000 2 587.4000 S136 S7 590 N S136->2_224->S7
4081.3000 M711 5000000 3 1948.3000 S23 S9 567 N S23->S122->3_236->S9
4086.3000 M700 5000000 3 1986.3000 S109 S9 566 N S109->4_245->3_236->S9
4163.6000 M696 5000000 2 2075.6000 S162 S75 565 N S162->7_278->S75
4168.6000 M818 5000000 2 1714.6000 S39 S97 571 N S39->7_278->S97
4256.7000 M986 5000000 2 1298.7000 S113 S192 578 N S113->2_224->S192
4296.6000 M635 5000000 2 2391.6000 S209 S187 560 N S209->2_225->S187
4301.6000 M307 5000000 3 3380.6000 S192 S187 543 N S192->S72->2_225->S187
4325.6000 M1322 5000000 3 359.6000 S93 S112 594 N S93->S5->3_236->S112
4344.8000 M527 5000000 5 2763.8000 S111 S206 553 N S111->4_246->S109->4_245->3_236->S206
4344.9000 M429 5000000 3 3057.9000 S47 S117 549 N S47->S94->9_306->S117
4358.1000 M660 5000000 3 2378.1000 S155 S16 560 N S155->S142->7_279->S16
4393.8000 M797 5000000 2 2002.8000 S67 S154 566 N S67->7_275->S154
4405.3000 M962 5000000 2 1519.3000 S158 S155 574 N S158->9_306->S155
4411.4000 M189 5000000 6 3844.4000 S195 S187 535 N S195->S115->3_237->S55->S104->3_236->S187
4423.7000 M100 5000000 4 4123.7000 S57 S38 531 N S57->4_246->S161->2_224->S38
4439.1000 M1053 5000000 2 1280.1000 S118 S49 578 N S118->4_247->S49
4456.5000 M1357 5000000 3 385.5000 S33 S55 593 N S33->S100->7_275->S55
4464.3000 M528 5000000 2 2880.3000 S142 S200 551 N S142->7_279->S200
4464.6000 M678 5000000 3 2430.6000 S129 S100 559 N S129->S95->9_305->S100
4469.6000 M785 5000000 3 2114.6000 S129 S100 564 N S129->S95->9_305->S100
4484.7000 M275 5000000 4 3659.7000 S14 S134 539 N S14->S31->2_224->2_225->S134
4489.7000 M544 5000000 2 2857.7000 S135 S134 552 N S135->2_225->S134
4497.4000 M899 5000000 3 1800.4000 S132 S25 569 N S132->S161->4_247->S25
4499.9000 M1127 5000000 2 1118.9000 S204 S151 581 N S204->3_235->S151
4514.9000 M636 5000000 3 2606.9000 S80 S187 556 N S80->S164->3_235->S187
4525.6000 M286 5000000 3 3667.6000 S96 S149 538 N S96->S83->9_306->S149
4555.1000 M766 5000000 3 2257.1000 S57 S138 562 N S57->S108->4_247->S138
4579.8000 M615 5000000 3 2734.8000 S154 S22 554 N S154->S9->3_236->S22
4585.4000 M1051 5000000 2 1432.4000 S49 S110 576 N S49->4_245->S110
4596.8000 M901 5000000 3 1893.8000 S134 S32 568 N S134->S113->2_224->S32
4599.3000 M753 5000000 4 2340.3000 S180 S27 560 N S180->4_246->S31->2_226->S27
4603.9000 M862 5000000 2 2017.9000 S73 S137 566 N S73->2_225->S137
4620.0000 M514 5000000 3 3078.0000 S21 S127 548 N S21->S210->3_237->S127
4665.5000 M1190 5000000 2 1095.5000 S76 S187 581 N S76->4_245->S187
4670.5000 M953 5000000 2 1811.5000 S133 S187 569 N S133->4_245->S187
4752.4000 M162 5000000 5 4266.4000 S168 S24 528 N S168->9_307->S9->S154->3_236->S24
4755.5000 M1449 5000000 3 408.5000 S15 S113 593 N S15->S28->4_246->S113
4776.5000 M93 5000000 5 4497.5000 S42 S152 525 N S42->S59->3_234->S33->7_275->S152
4782.4000 M740 5000000 5 2562.4000 S31 S64 557 N S31->S14->4_245->S8->2_226->S64
4797.0000 M1247 5000000 2 1056.0000 S63 S31 582 N S63->4_245->S31
4801.7000 M1592 5000000 1 25.7000 S134 S113 599 N S134->S113
4810.5000 M294 5000000 3 3928.5000 S163 S175 534 N S163->S82->9_305->S175
4811.8000 M214 5000000 3 4169.8000 S138 S21 530 N S138->4_246->3_236->S21
4822.8000 M607 5000000 4 3001.8000 S152 S95 549 N S152->7_276->S163->9_306->S95
4826.8000 M207 5000000 3 4205.8000 S5 S140 529 N S5->S93->3_236->S140
4849.9000 M185 5000000 2 4294.9000 S115 S52 528 N S115->3_237->S52
4876.8000 M1352 5000000 2 820.8000 S88 S113 586 N S88->7_275->S113
4877.1000 M566 5000000 3 3179.1000 S5 S204 547 N S5->S93->3_236->S204
4909.3000 M1233 5000000 2 1210.3000 S62 S161 579 N S62->4_245->S161
4911.8000 M839 5000000 2 2394.8000 S77 S141 560 N S77->2_227->S141
4936.3000 M638 5000000 4 3022.3000 S145 S18 549 N S145->9_306->S154->3_236->S18
4941.3000 M788 5000000 3 2577.3000 S103 S86 557 N S103->4_245->3_236->S86
4948.8000 M451 5000000 3 3595.8000 S185 S205 540 N S185->S95->9_305->S205
4953.8000 M1048 5000000 2 1809.8000 S148 S205 569 N S148->9_305->S205
4972.5000 M320 5000000 3 4012.5000 S187 S108 533 N S187->S151->4_245->S108
5003.4000 M81 5000000 2 4760.4000 S107 S150 520 N S107->3_236->S150
5039.7000 M643 5000000 3 3110.7000 S137 S74 548 N S137->S190->2_226->S74
5042.7000 M1355 5000000 4 977.7000 S39 S40 583 N S39->7_279->S168->7_277->S40
5054.7000 M938 5000000 3 2240.7000 S198 S90 562 N S198->S85->3_237->S90
5065.5000 M1093 5000000 3 1786.5000 S33 S142 570 N S33->S100->7_275->S142
5071.0000 M1342 5000000 2 1045.0000 S28 S180 582 N S28->4_246->S180
5078.1000 M384 5000000 2 3926.1000 S77 S102 534 N S77->2_227->S102
5103.4000 M267 5000000 2 4302.4000 S17 S51 528 N S17->3_235->S51
5121.3000 M1096 5000000 2 1833.3000 S67 S163 569 N S67->7_275->S163
5126.3000 M57 5000000 5 4955.3000 S15 S82 517 N S15->S28->4_244->S161->7_275->S82
5131.0000 M1239 5000000 2 1414.0000 S208 S133 576 N S208->4_246->S133
5132.0000 M1024 5000000 5 2060.0000 S185 S154 565 N S185->S129->9_305->S55->7_276->S154
5151.6000 M945 5000000 2 2316.6000 S138 S92 561 N S138->4_245->S92
5157.4000 M7 5000000 2 5136.4000 S207 S196 514 N S207->3_235->S196
5162.4000 M955 5000000 5 2297.4000 S105 S196 561 N S105->9_306->S104->S55->3_235->S196
5180.2000 M1416 5000000 2 932.2000 S51 S33 584 N S51->3_237->S33
5185.9000 M356 5000000 2 4117.9000 S151 S118 531 N S151->4_245->S118
5207.0000 M1467 5000000 2 806.0000 S105 S104 586 N S105->9_308->S104
5244.1000 M406 5000000 5 4026.1000 S201 S130 532 N S201->7_278->S5->S93->3_235->S130
5249.1000 M1437 5000000 2 938.1000 S22 S130 584 N S22->3_235->S130
5254.1000 M989 5000000 5 2287.1000 S110 S130 561 N S110->S180->4_246->S8->3_235->S130
5272.5000 M854 5000000 2 2710.5000 S77 S27 554 N S77->2_227->S27
5273.0000 M220 5000000 4 4613.0000 S127 S211 523 N S127->4_247->S187->2_226->S211
5277.6000 M857 5000000 3 2706.6000 S0 S47 554 N S0->S50->7_276->S47
5303.7000 M276 5000000 2 4475.7000 S17 S107 525 N S17->3_235->S107
5319.4000 M1476 5000000 3 891.4000 S190 S161 585 N S190->S137->2_225->S161
5333.7000 M1265 5000000 2 1538.7000 S164 S178 574 N S164->3_235->S178
5338.7000 M414 5000000 5 4096.7000 S152 S178 531 N S152->7_276->S206->S117->3_235->S178
5363.4000 M870 5000000 2 2753.4000 S67 S75 554 N S67->7_275->S75
5364.1000 M954 5000000 3 2502.1000 S103 S109 558 N S103->S133->4_246->S109
5368.4000 M1429 5000000 2 1081.4000 S161 S148 581 N S161->7_275->S148
5369.1000 M1440 5000000 2 1049.1000 S14 S109 582 N S14->4_246->S109
5399.9000 M1266 5000000 3 1601.9000 S61 S186 573 N S61->S92->4_246->S186
5428.4000 M1434 5000000 3 1126.4000 S9 S42 581 N S9->S154->9_308->S42
5430.6000 M445 5000000 2 4095.6000 S183 S88 531 N S183->7_276->S88
5438.0000 M1811 5000000 1 5.0000 S204 S11 599 N S204->S11
5480.5000 M1054 5000000 2 2318.5000 S81 S100 561 N S81->7_277->S100
5482.9000 M932 5000000 2 2686.9000 S133 S127 555 N S133->4_246->S127
5483.0000 M324 5000000 5 4511.0000 S96 S123 524 N S96->S83->7_279->S117->3_235->S123
5542.0000 M1107 5000000 2 2221.0000 S201 S50 562 N S201->7_275->S50
5551.1000 M1258 5000000 2 1777.1000 S164 S189 570 N S164->3_235->S189
5573.0000 M931 5000000 3 2780.0000 S0 S147 553 N S0->S50->7_276->S147
5604.7000 M844 5000000 3 3072.7000 S58 S155 548 N S58->3_237->9_308->S155
5609.4000 M170 5000000 4 5099.4000 S61 S23 515 N S61->4_247->S8->3_235->S23
5618.1000 M693 5000000 3 3539.1000 S0 S3 541 N S0->S50->7_276->S3
5628.9000 M1526 5000000 2 1050.9000 S165 S72 582 N S165->2_224->S72
5633.1000 M208 5000000 5 5009.1000 S85 S200 516 N S85->3_234->S154->S9->7_276->S200
5660.5000 M1676 5000000 2 632.5000 S142 S33 589 N S142->9_307->S33
5722.8000 M650 5000000 2 3772.8000 S132 S81 537 N S132->7_276->S81
5751.0000 M1094 5000000 3 2469.0000 S202 S161 558 N S202->S77->2_227->S161
5803.9000 M1572 5000000 3 1087.9000 S99 S137 581 N S99->S73->2_227->S137
5847.0000 M1465 5000000 2 1452.0000 S28 S108 575 N S28->4_245->S108
5867.2000 M792 5000000 3 3491.2000 S0 S205 541 N S0->S50->7_276->S205
5900.7000 M1292 5000000 3 2024.7000 S52 S80 566 N S52->S130->3_237->S80
5903.4000 M774 5000000 5 3581.4000 S59 S75 540 N S59->9_305->S9->S154->9_308->S75
5905.7000 M1444 5000000 3 1573.7000 S172 S80 573 N S172->S189->3_237->S80
5907.2000 M1199 5000000 3 2310.2000 S0 S168 561 N S0->S50->7_276->S168
5908.4000 M1151 5000000 2 2455.4000 S96 S148 559 N S96->9_308->S148
5913.4000 M589 5000000 2 4146.4000 S117 S97 530 N S117->9_308->S97
5934.5000 M705 5000000 5 3819.5000 S16 S158 536 N S16->S147->7_278->S112->9_307->S158
5951.7000 M1169 5000000 3 2444.7000 S161 S24 559 N S161->4_247->3_237->S24
5961.7000 M372 5000000 2 4845.7000 S58 S101 519 N S58->3_237->S101
5980.9000 M1037 5000000 5 2869.9000 S33 S194 552 N S33->S100->7_275->S170->7_276->S194
6010.5000 M661 5000000 2 4027.5000 S142 S175 532 N S142->9_307->S175
6018.6000 M1680 5000000 2 978.6000 S208 S14 583 N S208->4_245->S14
6033.6000 M799 5000000 2 3636.6000 S15 S31 539 N S15->4_245->S31
6076.9000 M961 5000000 4 3193.9000 S190 S11 546 N S190->2_224->S8->3_237->S11
6077.5000 M1899 5000000 2 380.5000 S67 S39 593 N S67->7_279->S39
6091.8000 M1120 5000000 2 2731.8000 S168 S134 554 N S168->7_277->S134
6107.0000 M2034 5000000 1 5.0000 S35 S193 599 N S35->S193
6110.8000 M776 5000000 3 3782.8000 S9 S145 536 N S9->S154->9_307->S145
6112.1000 M1790 5000000 3 742.1000 S95 S83 587 N S95->S129->9_306->S83
6140.4000 M1256 5000000 3 2372.4000 S121 S86 560 N S121->S51->3_237->S86
6148.1000 M1205 5000000 4 2533.1000 S95 S205 557 N S95->S185->S129->9_307->S205
6173.7000 M578 5000000 3 4439.7000 S102 S197 526 N S102->S64->2_224->S197
6202.3000 M1214 5000000 2 2560.3000 S8 S30 557 N S8->2_225->S30
6260.2000 M1669 5000000 2 1253.2000 S113 S110 579 N S113->4_245->S110
6263.8000 M466 5000000 5 4865.8000 S21 S194 518 N S21->S210->3_235->S59->9_307->S194
6268.8000 M1575 5000000 3 1543.8000 S129 S194 574 N S129->S95->9_307->S194
6286.7000 M1639 5000000 2 1369.7000 S138 S174 577 N S138->4_247->S174
6325.7000 M1206 5000000 2 2707.7000 S25 S103 554 N S25->4_245->S103
6330.7000 M883 5000000 4 3681.7000 S162 S103 538 N S162->7_278->S151->4_245->S103
6334.0000 M944 5000000 2 3502.0000 S181 S64 541 N S181->2_224->S64
6355.8000 M1949 5000000 3 508.8000 S102 S73 591 N S102->S64->2_225->S73
6356.5000 M749 5000000 2 4109.5000 S148 S154 531 N S148->9_305->S154
6360.8000 M545 5000000 4 4725.8000 S63 S73 521 N S63->4_246->S132->2_225->S73
6386.1000 M562 5000000 3 4700.1000 S147 S84 521 N S147->S16->7_277->S84
6390.5000 M1116 5000000 3 3042.5000 S132 S141 549 N S132->S161->4_245->S141
6391.1000 M583 5000000 6 4642.1000 S14 S149 522 N S14->S31->2_227->S187->S151->7_277->S149
6404.7000 M1833 5000000 3 905.7000 S64 S156 584 N S64->S102->2_224->S156
6414.2000 M1618 5000000 2 1560.2000 S137 S124 573 N S137->2_225->S124
6477.1000 M1358 5000000 3 2403.1000 S102 S211 559 N S102->S64->2_225->S211
6487.1000 M183 5000000 5 5938.1000 S5 S20 501 N S5->S93->3_234->S8->2_225->S20
6489.3000 M2082 5000000 3 243.3000 S3 S88 595 N S3->S200->7_279->S88
6563.5000 M603 5000000 2 4754.5000 S133 S109 520 N S133->4_245->S109
6620.1000 M1731 5000000 2 1427.1000 S147 S207 576 N S147->7_279->S207
6652.0000 M1489 5000000 2 2185.0000 S27 S114 563 N S27->2_225->S114
6657.0000 M1797 5000000 3 1266.0000 S197 S192 578 N S197->S136->2_225->S192
6681.7000 M920 5000000 3 3921.7000 S126 S151 534 N S126->S196->3_238->S151
6682.4000 M1149 5000000 4 3235.4000 S158 S171 546 N S158->9_308->S194->7_277->S171
