# time  ID  size  fromHost  toHost  TTL  isResponse
3.0000 M1 5000000 S198 S84 200 N 
6.0000 M2 5000000 S25 S79 200 N 
9.0000 M3 5000000 S131 S76 200 N 
12.0000 M4 5000000 S202 S61 200 N 
15.0000 M5 5000000 S194 S56 200 N 
18.0000 M6 5000000 S47 S183 200 N 
21.0000 M7 5000000 S207 S196 200 N 
24.0000 M8 5000000 S106 S140 200 N 
27.0000 M9 5000000 S211 S180 200 N 
30.0000 M10 5000000 S53 S145 200 N 
33.0000 M11 5000000 S55 S212 200 N 
36.0000 M12 5000000 S101 S134 200 N 
39.0000 M13 5000000 S180 S6 200 N 
42.0000 M14 5000000 S192 S38 200 N 
45.0000 M15 5000000 S145 S78 200 N 
48.0000 M16 5000000 S21 S73 200 N 
51.0000 M17 5000000 S118 S99 200 N 
54.0000 M18 5000000 S197 S208 200 N 
57.0000 M19 5000000 S116 S169 200 N 
60.0000 M20 5000000 S98 S104 200 N 
63.0000 M21 5000000 S83 S56 200 N 
66.0000 M22 5000000 S160 S11 200 N 
69.0000 M23 5000000 S203 S36 200 N 
72.0000 M24 5000000 S136 S20 200 N 
75.0000 M25 5000000 S187 S26 200 N 
78.0000 M26 5000000 S48 S135 200 N 
81.0000 M27 5000000 S71 S81 200 N 
84.0000 M28 5000000 S61 S140 200 N 
87.0000 M29 5000000 S177 S64 200 N 
90.0000 M30 5000000 S101 S211 200 N 
93.0000 M31 5000000 S87 S142 200 N 
96.0000 M32 5000000 S81 S117 200 N 
99.0000 M33 5000000 S67 S170 200 N 
102.0000 M34 5000000 S187 S141 200 N 
105.0000 M35 5000000 S157 S164 200 N 
108.0000 M36 5000000 S3 S32 200 N 
111.0000 M37 5000000 S108 S5 200 N 
114.0000 M38 5000000 S211 S125 200 N 
117.0000 M39 5000000 S144 S2 200 N 
120.0000 M40 5000000 S6 S48 200 N 
123.0000 M41 5000000 S77 S15 200 N 
126.0000 M42 5000000 S66 S183 200 N 
129.0000 M43 5000000 S21 S45 200 N 
132.0000 M44 5000000 S108 S20 200 N 
135.0000 M45 5000000 S191 S171 200 N 
138.0000 M46 5000000 S126 S125 200 N 
141.0000 M47 5000000 S185 S13 200 N 
144.0000 M48 5000000 S51 S44 200 N 
147.0000 M49 5000000 S167 S133 200 N 
150.0000 M50 5000000 S164 S21 200 N 
