# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
215.2000 M43 1000000 1 0.2000 S3 S1 399 N S3->S1
760.2000 M152 1000000 1 0.2000 S9 S6 399 N S9->S6
4795.2000 M959 1000000 1 0.2000 S1 S3 399 N S1->S3
6550.2000 M1310 1000000 1 0.2000 S58 S57 399 N S58->S57
8565.2000 M1713 1000000 1 0.2000 S57 S58 399 N S57->S58
10805.2000 M2161 1000000 1 0.2000 S57 S58 399 N S57->S58
11175.2000 M2235 1000000 1 0.2000 S6 S9 399 N S6->S9
15420.2000 M3084 1000000 1 0.2000 S9 S6 399 N S9->S6
15605.2000 M3121 1000000 1 0.2000 S58 S57 399 N S58->S57
16445.2000 M3289 1000000 1 0.2000 S9 S6 399 N S9->S6
17195.2000 M3439 1000000 1 0.2000 S6 S9 399 N S6->S9
18005.2000 M3601 1000000 1 0.2000 S6 S9 399 N S6->S9
19235.2000 M3847 1000000 1 0.2000 S58 S57 399 N S58->S57
21050.2000 M4210 1000000 1 0.2000 S1 S3 399 N S1->S3
