# time  ID  size  fromHost  toHost  TTL  isResponse
695.0000 M139 5000000 S56 S41 600 N 
700.0000 M140 5000000 S17 S1 600 N 
705.0000 M141 5000000 S15 S45 600 N 
710.0000 M142 5000000 S0 S38 600 N 
715.0000 M143 5000000 S1 S25 600 N 
720.0000 M144 5000000 S43 S54 600 N 
725.0000 M145 5000000 S39 S1 600 N 
730.0000 M146 5000000 S15 S37 600 N 
735.0000 M147 5000000 S30 S54 600 N 
740.0000 M148 5000000 S15 S52 600 N 
745.0000 M149 5000000 S58 S26 600 N 
750.0000 M150 5000000 S5 S40 600 N 
755.0000 M151 5000000 S56 S22 600 N 
760.0000 M152 5000000 S9 S6 600 N 
765.0000 M153 5000000 S36 S47 600 N 
770.0000 M154 5000000 S58 S18 600 N 
775.0000 M155 5000000 S8 S48 600 N 
780.0000 M156 5000000 S18 S2 600 N 
785.0000 M157 5000000 S29 S36 600 N 
790.0000 M158 5000000 S9 S37 600 N 
795.0000 M159 5000000 S39 S36 600 N 
800.0000 M160 5000000 S26 S44 600 N 
805.0000 M161 5000000 S26 S32 600 N 
810.0000 M162 5000000 S5 S21 600 N 
815.0000 M163 5000000 S48 S36 600 N 
820.0000 M164 5000000 S11 S60 600 N 
825.0000 M165 5000000 S53 S42 600 N 
830.0000 M166 5000000 S44 S27 600 N 
835.0000 M167 5000000 S33 S52 600 N 
840.0000 M168 5000000 S52 S29 600 N 
845.0000 M169 5000000 S16 S39 600 N 
850.0000 M170 5000000 S3 S25 600 N 
855.0000 M171 5000000 S56 S51 600 N 
860.0000 M172 5000000 S57 S14 600 N 
865.0000 M173 5000000 S23 S4 600 N 
870.0000 M174 5000000 S5 S21 600 N 
875.0000 M175 5000000 S22 S47 600 N 
880.0000 M176 5000000 S22 S29 600 N 
885.0000 M177 5000000 S5 S1 600 N 
890.0000 M178 5000000 S34 S13 600 N 
895.0000 M179 5000000 S17 S18 600 N 
900.0000 M180 5000000 S32 S44 600 N 
905.0000 M181 5000000 S50 S48 600 N 
910.0000 M182 5000000 S29 S57 600 N 
915.0000 M183 5000000 S16 S36 600 N 
920.0000 M184 5000000 S54 S10 600 N 
925.0000 M185 5000000 S33 S21 600 N 
930.0000 M186 5000000 S17 S9 600 N 
935.0000 M187 5000000 S16 S5 600 N 
940.0000 M188 5000000 S20 S56 600 N 
945.0000 M189 5000000 S59 S58 600 N 
950.0000 M190 5000000 S17 S58 600 N 
955.0000 M191 5000000 S42 S46 600 N 
960.0000 M192 5000000 S6 S19 600 N 
965.0000 M193 5000000 S27 S10 600 N 
970.0000 M194 5000000 S13 S41 600 N 
975.0000 M195 5000000 S9 S40 600 N 
980.0000 M196 5000000 S40 S52 600 N 
985.0000 M197 5000000 S13 S59 600 N 
990.0000 M198 5000000 S32 S46 600 N 
995.0000 M199 5000000 S7 S37 600 N 
1000.0000 M200 5000000 S43 S39 600 N 
1005.0000 M201 5000000 S33 S20 600 N 
1010.0000 M202 5000000 S52 S8 600 N 
1015.0000 M203 5000000 S1 S13 600 N 
1020.0000 M204 5000000 S21 S50 600 N 
1025.0000 M205 5000000 S36 S9 600 N 
1030.0000 M206 5000000 S54 S19 600 N 
1035.0000 M207 5000000 S30 S49 600 N 
1040.0000 M208 5000000 S1 S45 600 N 
1045.0000 M209 5000000 S47 S17 600 N 
1050.0000 M210 5000000 S17 S11 600 N 
1055.0000 M211 5000000 S8 S39 600 N 
1060.0000 M212 5000000 S43 S23 600 N 
1065.0000 M213 5000000 S54 S25 600 N 
1070.0000 M214 5000000 S18 S35 600 N 
1075.0000 M215 5000000 S43 S48 600 N 
1080.0000 M216 5000000 S54 S15 600 N 
1085.0000 M217 5000000 S35 S15 600 N 
1090.0000 M218 5000000 S33 S32 600 N 
1095.0000 M219 5000000 S9 S28 600 N 
1100.0000 M220 5000000 S26 S22 600 N 
1105.0000 M221 5000000 S2 S0 600 N 
1110.0000 M222 5000000 S31 S32 600 N 
1115.0000 M223 5000000 S57 S54 600 N 
1120.0000 M224 5000000 S1 S36 600 N 
1125.0000 M225 5000000 S49 S45 600 N 
1130.0000 M226 5000000 S58 S11 600 N 
1135.0000 M227 5000000 S58 S17 600 N 
1140.0000 M228 5000000 S51 S39 600 N 
1145.0000 M229 5000000 S15 S56 600 N 
1150.0000 M230 5000000 S29 S11 600 N 
1155.0000 M231 5000000 S4 S16 600 N 
1160.0000 M232 5000000 S35 S56 600 N 
1165.0000 M233 5000000 S29 S60 600 N 
1170.0000 M234 5000000 S30 S25 600 N 
1175.0000 M235 5000000 S45 S21 600 N 
1180.0000 M236 5000000 S3 S16 600 N 
1185.0000 M237 5000000 S57 S15 600 N 
1190.0000 M238 5000000 S58 S7 600 N 
1195.0000 M239 5000000 S36 S19 600 N 
1200.0000 M240 5000000 S49 S58 600 N 
1205.0000 M241 5000000 S26 S15 600 N 
1210.0000 M242 5000000 S50 S17 600 N 
1215.0000 M243 5000000 S45 S56 600 N 
1220.0000 M244 5000000 S45 S3 600 N 
1225.0000 M245 5000000 S3 S35 600 N 
1230.0000 M246 5000000 S35 S19 600 N 
1235.0000 M247 5000000 S59 S35 600 N 
1240.0000 M248 5000000 S45 S33 600 N 
1245.0000 M249 5000000 S58 S3 600 N 
1250.0000 M250 5000000 S29 S8 600 N 
1255.0000 M251 5000000 S60 S5 600 N 
1260.0000 M252 5000000 S46 S0 600 N 
1265.0000 M253 5000000 S37 S60 600 N 
1270.0000 M254 5000000 S43 S52 600 N 
1275.0000 M255 5000000 S46 S52 600 N 
1280.0000 M256 5000000 S14 S45 600 N 
1285.0000 M257 5000000 S41 S53 600 N 
