# time  ID  size  fromHost  toHost  TTL  isResponse
417.0000 M139 1000000 S174 S163 600 N 
420.0000 M140 1000000 S65 S3 600 N 
423.0000 M141 1000000 S178 S141 600 N 
426.0000 M142 1000000 S65 S120 600 N 
429.0000 M143 1000000 S207 S181 600 N 
432.0000 M144 1000000 S19 S174 600 N 
435.0000 M145 1000000 S150 S76 600 N 
438.0000 M146 1000000 S27 S128 600 N 
441.0000 M147 1000000 S109 S131 600 N 
444.0000 M148 1000000 S83 S131 600 N 
447.0000 M149 1000000 S17 S51 600 N 
450.0000 M150 1000000 S81 S47 600 N 
453.0000 M151 1000000 S205 S209 600 N 
456.0000 M152 1000000 S28 S113 600 N 
459.0000 M153 1000000 S51 S124 600 N 
462.0000 M154 1000000 S204 S76 600 N 
465.0000 M155 1000000 S46 S17 600 N 
468.0000 M156 1000000 S39 S127 600 N 
471.0000 M157 1000000 S11 S75 600 N 
474.0000 M158 1000000 S34 S144 600 N 
477.0000 M159 1000000 S80 S205 600 N 
480.0000 M160 1000000 S48 S206 600 N 
483.0000 M161 1000000 S166 S105 600 N 
486.0000 M162 1000000 S168 S24 600 N 
489.0000 M163 1000000 S93 S129 600 N 
492.0000 M164 1000000 S6 S47 600 N 
495.0000 M165 1000000 S88 S104 600 N 
498.0000 M166 1000000 S51 S188 600 N 
501.0000 M167 1000000 S102 S88 600 N 
504.0000 M168 1000000 S127 S197 600 N 
507.0000 M169 1000000 S39 S52 600 N 
510.0000 M170 1000000 S61 S23 600 N 
513.0000 M171 1000000 S35 S60 600 N 
516.0000 M172 1000000 S72 S173 600 N 
519.0000 M173 1000000 S2 S90 600 N 
522.0000 M174 1000000 S97 S55 600 N 
525.0000 M175 1000000 S201 S190 600 N 
528.0000 M176 1000000 S154 S181 600 N 
531.0000 M177 1000000 S138 S142 600 N 
534.0000 M178 1000000 S199 S44 600 N 
537.0000 M179 1000000 S112 S75 600 N 
540.0000 M180 1000000 S191 S116 600 N 
543.0000 M181 1000000 S169 S82 600 N 
546.0000 M182 1000000 S31 S89 600 N 
549.0000 M183 1000000 S5 S20 600 N 
552.0000 M184 1000000 S8 S83 600 N 
555.0000 M185 1000000 S115 S52 600 N 
558.0000 M186 1000000 S65 S83 600 N 
561.0000 M187 1000000 S207 S68 600 N 
564.0000 M188 1000000 S108 S152 600 N 
567.0000 M189 1000000 S195 S187 600 N 
570.0000 M190 1000000 S106 S204 600 N 
573.0000 M191 1000000 S202 S86 600 N 
576.0000 M192 1000000 S123 S150 600 N 
579.0000 M193 1000000 S166 S126 600 N 
582.0000 M194 1000000 S138 S168 600 N 
585.0000 M195 1000000 S75 S186 600 N 
588.0000 M196 1000000 S40 S168 600 N 
591.0000 M197 1000000 S198 S125 600 N 
594.0000 M198 1000000 S22 S1 600 N 
597.0000 M199 1000000 S102 S153 600 N 
600.0000 M200 1000000 S171 S40 600 N 
603.0000 M201 1000000 S36 S162 600 N 
