# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2938.7000 M460 5000000 2 638.7000 S103 S199 189 N S103->4_245->S199
2943.7000 M202 5000000 3 1933.7000 S133 S199 167 N S133->S103->4_245->S199
2965.5000 M258 5000000 4 1675.5000 S124 S144 172 N S124->2_225->S131->2_226->S144
3030.0000 M445 5000000 2 805.0000 S183 S88 186 N S183->7_277->S88
3070.3000 M105 5000000 4 2545.3000 S124 S59 157 N S124->2_225->S20->9_307->S59
3105.3000 M286 5000000 3 1675.3000 S96 S149 172 N S96->S83->7_279->S149
3112.7000 M504 5000000 2 592.7000 S126 S184 190 N S126->3_236->S184
3143.0000 M32 5000000 4 2983.0000 S81 S117 150 N S81->7_276->S100->9_307->S117
3146.1000 M65 5000000 2 2821.1000 S206 S34 152 N S206->7_276->S34
3157.6000 M131 5000000 5 2502.6000 S178 S16 158 N S178->3_235->S47->S94->7_277->S16
3201.7000 M443 5000000 3 986.7000 S189 S23 183 N S189->S172->3_236->S23
3223.5000 M100 5000000 4 2723.5000 S57 S38 154 N S57->4_246->S161->2_227->S38
3254.1000 M219 5000000 4 2159.1000 S65 S104 164 N S65->7_275->S205->7_278->S104
3282.4000 M200 5000000 3 2282.4000 S171 S40 161 N S171->S71->7_277->S40
3294.5000 M92 5000000 5 2834.5000 S184 S133 152 N S184->3_235->S107->3_234->4_246->S133
3315.8000 M189 5000000 3 2370.8000 S195 S187 160 N S195->S115->3_237->S187
3380.0000 M266 5000000 6 2050.0000 S206 S22 165 N S206->S117->3_236->S9->S154->3_234->S22
3408.9000 M522 5000000 2 798.9000 S113 S2 186 N S113->2_224->S2
3415.4000 M178 5000000 4 2525.4000 S199 S44 157 N S199->4_247->S31->4_245->S44
3439.8000 M313 5000000 5 1874.8000 S55 S83 168 N S55->9_306->S33->S100->9_307->S83
3445.4000 M379 5000000 2 1550.4000 S111 S62 174 N S111->4_245->S62
3456.9000 M438 5000000 2 1266.9000 S150 S42 178 N S150->3_237->S42
3470.4000 M448 5000000 2 1230.4000 S161 S156 179 N S161->2_224->S156
3495.0000 M698 5000000 1 5.0000 S48 S120 199 N S48->S120
3508.3000 M311 5000000 2 1953.3000 S1 S97 167 N S1->9_307->S97
3534.2000 M390 5000000 2 1584.2000 S41 S158 173 N S41->9_308->S158
3612.4000 M50 5000000 5 3362.4000 S164 S21 143 N S164->3_236->S9->S154->3_234->S21
3618.3000 M163 5000000 5 2803.3000 S93 S129 153 N S93->6T_260->S55->S104->9_307->S129
3676.0000 M293 5000000 2 2211.0000 S107 S204 163 N S107->3_234->S204
3703.5000 M91 5000000 4 3248.5000 S58 S136 145 N S58->3_234->S8->2_224->S136
3708.5000 M168 5000000 4 2868.5000 S127 S197 152 N S127->4_247->S187->2_224->S197
3713.5000 M578 5000000 3 823.5000 S102 S197 186 N S102->S64->2_224->S197
3732.7000 M422 5000000 5 1622.7000 S211 S201 172 N S211->S7->9_306->S194->7_275->S201
3754.8000 M415 5000000 3 1679.8000 S127 S126 172 N S127->S123->3_236->S126
3755.9000 M435 5000000 3 1580.9000 S176 S100 173 N S176->S150->3_237->S100
3793.5000 M271 5000000 5 2438.5000 S204 S168 159 N S204->S11->3_236->S9->9_308->S168
3802.9000 M81 5000000 2 3397.9000 S107 S150 143 N S107->3_234->S150
3824.7000 M669 5000000 2 479.7000 S183 S55 192 N S183->7_279->S55
3840.1000 M553 5000000 3 1075.1000 S33 S151 182 N S33->S100->7_278->S151
3878.3000 M384 5000000 2 1958.3000 S77 S102 167 N S77->2_225->S102
3904.5000 M220 5000000 5 2804.5000 S127 S211 153 N S127->4_247->S109->4_245->3_236->S211
3926.0000 M470 5000000 2 1576.0000 S57 S103 173 N S57->4_247->S103
3929.7000 M149 5000000 3 3184.7000 S17 S51 146 N S17->S157->3_237->S51
3947.1000 M110 5000000 4 3397.1000 S47 S61 143 N S47->S94->3_234->4_246->S61
3951.2000 M349 5000000 4 2206.2000 S183 S126 163 N S183->7_277->S55->3_237->S126
3952.1000 M622 5000000 3 842.1000 S113 S92 185 N S113->S134->4_246->S92
3956.2000 M597 5000000 2 971.2000 S58 S196 183 N S58->3_237->S196
3987.1000 M356 5000000 3 2207.1000 S151 S118 163 N S151->S187->4_246->S118
4014.1000 M327 5000000 5 2379.1000 S108 S124 160 N S108->S57->4_245->S161->2_224->S124
4042.1000 M503 5000000 3 1527.1000 S189 S154 174 N S189->S172->3_236->S154
4044.3000 M529 5000000 3 1399.3000 S18 S130 176 N S18->S86->3_237->S130
