# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1839.2000 M613 1000000 1 0.2000 S27 S14 199 N S27->S14
3240.2000 M1080 1000000 1 0.2000 S51 S70 199 N S51->S70
3801.2000 M1267 1000000 1 0.2000 S51 S70 199 N S51->S70
4137.2000 M1379 1000000 1 0.2000 S45 S0 199 N S45->S0
5688.2000 M1896 1000000 1 0.2000 S31 S4 199 N S31->S4
5805.2000 M1935 1000000 1 0.2000 S6 S1 199 N S6->S1
6318.2000 M2106 1000000 1 0.2000 S73 S40 199 N S73->S40
6810.2000 M2270 1000000 1 0.2000 S1 S6 199 N S1->S6
7125.2000 M2375 1000000 1 0.2000 S12 S61 199 N S12->S61
7341.2000 M2447 1000000 1 0.2000 S40 S73 199 N S40->S73
8448.2000 M2816 1000000 1 0.2000 S26 S25 199 N S26->S25
8697.2000 M2899 1000000 1 0.2000 S6 S60 199 N S6->S60
8835.2000 M2945 1000000 1 0.2000 S45 S0 199 N S45->S0
9387.2000 M3129 1000000 1 0.2000 S77 S3 199 N S77->S3
9519.2000 M3173 1000000 1 0.2000 S73 S40 199 N S73->S40
10494.2000 M3498 1000000 1 0.2000 S60 S1 199 N S60->S1
10809.2000 M3603 1000000 1 0.2000 S73 S40 199 N S73->S40
10830.2000 M3610 1000000 1 0.2000 S6 S60 199 N S6->S60
11199.2000 M3733 1000000 1 0.2000 S6 S1 199 N S6->S1
11625.2000 M3875 1000000 1 0.2000 S61 S72 199 N S61->S72
12210.2000 M4070 1000000 1 0.2000 S14 S27 199 N S14->S27
12444.2000 M4148 1000000 1 0.2000 S35 S77 199 N S35->S77
12525.2000 M4175 1000000 1 0.2000 S12 S61 199 N S12->S61
12579.2000 M4193 1000000 1 0.2000 S6 S1 199 N S6->S1
13287.2000 M4429 1000000 1 0.2000 S45 S0 199 N S45->S0
13692.2000 M4564 1000000 1 0.2000 S73 S40 199 N S73->S40
13893.2000 M4631 1000000 1 0.2000 S4 S31 199 N S4->S31
14301.2000 M4767 1000000 1 0.2000 S72 S61 199 N S72->S61
14478.2000 M4826 1000000 1 0.2000 S16 S67 199 N S16->S67
16020.2000 M5340 1000000 1 0.2000 S70 S51 199 N S70->S51
16929.2000 M5643 1000000 1 0.2000 S40 S73 199 N S40->S73
17220.2000 M5740 1000000 1 0.2000 S6 S1 199 N S6->S1
17583.2000 M5861 1000000 1 0.2000 S67 S16 199 N S67->S16
18579.2000 M6193 1000000 1 0.2000 S51 S70 199 N S51->S70
18957.2000 M6319 1000000 1 0.2000 S45 S0 199 N S45->S0
20946.2000 M6982 1000000 1 0.2000 S4 S31 199 N S4->S31
22371.2000 M7457 1000000 1 0.2000 S67 S16 199 N S67->S16
22794.2000 M7598 1000000 1 0.2000 S12 S61 199 N S12->S61
23475.2000 M7825 1000000 1 0.2000 S60 S1 199 N S60->S1
24048.2000 M8016 1000000 1 0.2000 S78 S72 199 N S78->S72
25716.2000 M8572 1000000 1 0.2000 S72 S12 199 N S72->S12
26322.2000 M8774 1000000 1 0.2000 S60 S6 199 N S60->S6
26796.2000 M8932 1000000 1 0.2000 S0 S45 199 N S0->S45
27330.2000 M9110 1000000 1 0.2000 S51 S70 199 N S51->S70
27975.2000 M9325 1000000 1 0.2000 S25 S26 199 N S25->S26
