# time  ID  size  fromHost  toHost  TTL  isResponse
1.0000 M1 5000000 S198 S84 400 N 
2.0000 M2 5000000 S25 S79 400 N 
3.0000 M3 5000000 S131 S76 400 N 
4.0000 M4 5000000 S202 S61 400 N 
5.0000 M5 5000000 S194 S56 400 N 
6.0000 M6 5000000 S47 S183 400 N 
7.0000 M7 5000000 S207 S196 400 N 
8.0000 M8 5000000 S106 S140 400 N 
9.0000 M9 5000000 S211 S180 400 N 
10.0000 M10 5000000 S53 S145 400 N 
11.0000 M11 5000000 S55 S212 400 N 
12.0000 M12 5000000 S101 S134 400 N 
13.0000 M13 5000000 S180 S6 400 N 
14.0000 M14 5000000 S192 S38 400 N 
15.0000 M15 5000000 S145 S78 400 N 
16.0000 M16 5000000 S21 S73 400 N 
17.0000 M17 5000000 S118 S99 400 N 
18.0000 M18 5000000 S197 S208 400 N 
19.0000 M19 5000000 S116 S169 400 N 
20.0000 M20 5000000 S98 S104 400 N 
21.0000 M21 5000000 S83 S56 400 N 
22.0000 M22 5000000 S160 S11 400 N 
23.0000 M23 5000000 S203 S36 400 N 
24.0000 M24 5000000 S136 S20 400 N 
25.0000 M25 5000000 S187 S26 400 N 
26.0000 M26 5000000 S48 S135 400 N 
27.0000 M27 5000000 S71 S81 400 N 
28.0000 M28 5000000 S61 S140 400 N 
29.0000 M29 5000000 S177 S64 400 N 
30.0000 M30 5000000 S101 S211 400 N 
31.0000 M31 5000000 S87 S142 400 N 
32.0000 M32 5000000 S81 S117 400 N 
33.0000 M33 5000000 S67 S170 400 N 
34.0000 M34 5000000 S187 S141 400 N 
35.0000 M35 5000000 S157 S164 400 N 
36.0000 M36 5000000 S3 S32 400 N 
37.0000 M37 5000000 S108 S5 400 N 
38.0000 M38 5000000 S211 S125 400 N 
39.0000 M39 5000000 S144 S2 400 N 
40.0000 M40 5000000 S6 S48 400 N 
41.0000 M41 5000000 S77 S15 400 N 
42.0000 M42 5000000 S66 S183 400 N 
43.0000 M43 5000000 S21 S45 400 N 
44.0000 M44 5000000 S108 S20 400 N 
45.0000 M45 5000000 S191 S171 400 N 
46.0000 M46 5000000 S126 S125 400 N 
47.0000 M47 5000000 S185 S13 400 N 
48.0000 M48 5000000 S51 S44 400 N 
49.0000 M49 5000000 S167 S133 400 N 
50.0000 M50 5000000 S164 S21 400 N 
51.0000 M51 5000000 S77 S4 400 N 
52.0000 M52 5000000 S125 S165 400 N 
53.0000 M53 5000000 S59 S119 400 N 
54.0000 M54 5000000 S8 S183 400 N 
55.0000 M55 5000000 S117 S26 400 N 
56.0000 M56 5000000 S33 S204 400 N 
57.0000 M57 5000000 S15 S82 400 N 
58.0000 M58 5000000 S145 S39 400 N 
59.0000 M59 5000000 S65 S93 400 N 
60.0000 M60 5000000 S66 S70 400 N 
61.0000 M61 5000000 S61 S128 400 N 
62.0000 M62 5000000 S61 S52 400 N 
63.0000 M63 5000000 S86 S66 400 N 
64.0000 M64 5000000 S94 S189 400 N 
65.0000 M65 5000000 S206 S34 400 N 
66.0000 M66 5000000 S75 S43 400 N 
67.0000 M67 5000000 S183 S161 400 N 
68.0000 M68 5000000 S96 S168 400 N 
69.0000 M69 5000000 S190 S93 400 N 
70.0000 M70 5000000 S2 S134 400 N 
71.0000 M71 5000000 S45 S2 400 N 
