/root/the-one-transit/reports/helsinki1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:3_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'ProphetV2Router', 'Group.bufferSize': '1000G', 'Group.msgTtl': '800', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '39600', 'Events1.interval': '5', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.6', 'ProphetV2Router.gamma': '1.0', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '3'}
['./one.sh', '-b', '1', 'helsinki1True_settings.txt']
Percent: 1/144
Run 1/1
11 in line defined by file data/helsinki1True/1_schedule.csv
10 in line defined by file data/helsinki1True/2_schedule.csv
10 in line defined by file data/helsinki1True/3_schedule.csv
16 in line defined by file data/helsinki1True/4_schedule.csv
15 in line defined by file data/helsinki1True/6T_schedule.csv
18 in line defined by file data/helsinki1True/7_schedule.csv
12 in line defined by file data/helsinki1True/8_schedule.csv
11 in line defined by file data/helsinki1True/9_schedule.csv
13 in line defined by file data/helsinki1True/10_schedule.csv
Running simulation 'helsinki1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:3'
8709.0 25342: 0.52 1/s
8769.0 25377: 0.57 1/s
8829.1 25406: 0.50 1/s
8889.3 25439: 0.54 1/s
8949.4 25470: 0.52 1/s
9009.6 25502: 0.53 1/s
9069.6 25531: 0.48 1/s
9129.7 25560: 0.50 1/s
9189.8 25591: 0.50 1/s
9249.8 25621: 0.50 1/s
9309.8 25649: 0.47 1/s
9370.0 25678: 0.49 1/s
9430.1 25706: 0.46 1/s
9490.1 25736: 0.50 1/s
9550.1 25766: 0.50 1/s
9610.2 25796: 0.49 1/s
9670.6 25825: 0.49 1/s
9730.8 25854: 0.48 1/s
9790.9 25881: 0.45 1/s
9851.0 25910: 0.49 1/s
9911.0 25937: 0.45 1/s
9971.1 25966: 0.48 1/s
10031.3 25994: 0.47 1/s
10091.3 26021: 0.44 1/s
10151.4 26049: 0.46 1/s
10211.5 26076: 0.46 1/s
10271.6 26105: 0.48 1/s
10331.7 26131: 0.43 1/s
10391.9 26160: 0.48 1/s
10452.2 26187: 0.45 1/s
10512.3 26214: 0.45 1/s
10572.5 26239: 0.41 1/s
10632.5 26263: 0.40 1/s
10692.7 26286: 0.39 1/s
10752.9 26311: 0.42 1/s
10813.0 26339: 0.45 1/s
10873.1 26362: 0.39 1/s
10933.1 26389: 0.44 1/s
10993.3 26414: 0.43 1/s
11053.6 26440: 0.43 1/s
11113.6 26465: 0.41 1/s
11173.6 26491: 0.43 1/s
11233.7 26518: 0.45 1/s
11293.8 26543: 0.43 1/s
11353.9 26572: 0.47 1/s
11414.0 26597: 0.42 1/s
11474.2 26624: 0.44 1/s
11537.7 26646: 0.37 1/s
11597.8 26670: 0.39 1/s
11658.0 26696: 0.43 1/s
11721.4 26718: 0.35 1/s
11781.5 26741: 0.38 1/s
11841.7 26767: 0.44 1/s
11901.8 26792: 0.42 1/s
11962.0 26816: 0.41 1/s
12022.1 26840: 0.38 1/s
12082.3 26863: 0.38 1/s
12142.3 26886: 0.39 1/s
12202.5 26909: 0.37 1/s
12262.6 26934: 0.42 1/s
12322.6 26959: 0.43 1/s
12382.8 26984: 0.41 1/s
12443.0 27006: 0.37 1/s
12503.2 27029: 0.38 1/s
12563.3 27055: 0.42 1/s
12623.4 27077: 0.37 1/s
12683.5 27101: 0.40 1/s
12743.7 27123: 0.37 1/s
12803.9 27146: 0.38 1/s
12864.0 27170: 0.41 1/s
12924.1 27193: 0.37 1/s
12984.3 27216: 0.38 1/s
13044.4 27240: 0.40 1/s
13104.4 27262: 0.37 1/s
13164.4 27286: 0.41 1/s
13224.5 27310: 0.39 1/s
13284.6 27331: 0.34 1/s
13344.7 27354: 0.38 1/s
13404.8 27375: 0.36 1/s
13465.0 27399: 0.39 1/s
13525.1 27422: 0.39 1/s
13585.3 27444: 0.36 1/s
13645.4 27461: 0.29 1/s
13705.6 27484: 0.38 1/s
13765.6 27506: 0.36 1/s
13825.8 27528: 0.37 1/s
13885.9 27543: 0.25 1/s
13946.1 27567: 0.40 1/s
14006.6 27590: 0.37 1/s
14066.6 27611: 0.35 1/s
14126.8 27632: 0.35 1/s
14187.0 27655: 0.38 1/s
14247.1 27675: 0.34 1/s
14307.4 27698: 0.37 1/s
14367.4 27719: 0.35 1/s
14427.4 27740: 0.36 1/s
14487.6 27764: 0.39 1/s
14547.7 27787: 0.38 1/s
14607.7 27806: 0.33 1/s
14667.9 27828: 0.36 1/s
14728.1 27847: 0.32 1/s
14788.3 27867: 0.33 1/s
14848.3 27888: 0.35 1/s
14908.6 27909: 0.34 1/s
14968.7 27928: 0.33 1/s
15028.7 27949: 0.35 1/s
15088.9 27970: 0.35 1/s
15149.1 27992: 0.36 1/s
15209.3 28014: 0.37 1/s
15269.7 28035: 0.34 1/s
15329.9 28056: 0.35 1/s
15390.1 28076: 0.34 1/s
15450.4 28096: 0.33 1/s
15510.4 28116: 0.34 1/s
15570.5 28137: 0.35 1/s
15630.6 28160: 0.37 1/s
15690.6 28181: 0.36 1/s
15750.8 28202: 0.35 1/s
15810.8 28223: 0.35 1/s
15870.9 28245: 0.37 1/s
15931.0 28266: 0.34 1/s
15991.2 28284: 0.29 1/s
16051.2 28304: 0.35 1/s
16111.3 28323: 0.32 1/s
16171.5 28344: 0.34 1/s
16231.7 28367: 0.39 1/s
16291.8 28389: 0.36 1/s
16351.8 28408: 0.32 1/s
16411.9 28428: 0.34 1/s
16472.0 28446: 0.30 1/s
16532.0 28466: 0.32 1/s
16592.2 28486: 0.34 1/s
16652.5 28506: 0.33 1/s
16712.7 28525: 0.31 1/s
16772.8 28545: 0.34 1/s
16832.8 28566: 0.35 1/s
16893.0 28587: 0.35 1/s
16953.2 28609: 0.37 1/s
17013.2 28629: 0.33 1/s
17073.2 28648: 0.31 1/s
17133.5 28668: 0.34 1/s
17193.8 28688: 0.33 1/s
17253.8 28708: 0.33 1/s
17314.1 28729: 0.36 1/s
